LSOA code,Aged 14 years and under,Aged 15 to 29 years,Aged 30 to 59 years,Aged 60 years and over
E01011930,14.3,15.8,38.8,31.1
E01011933,16.4,15,38.9,29.6
E01011937,12.8,11.7,37.1,38.3
E01011934,14.2,14.1,42.2,29.6
E01011936,20.1,15.9,38.4,25.6
E01011940,21.7,16.4,42.5,19.4
E01011943,21.7,16.8,42.7,18.6
E01011935,20.3,11.8,45.8,22.2
E01011941,14.8,11,34.2,40
E01011942,12.5,11.8,35.8,40.2
E01011946,12.2,12.5,35.6,39.8
E01011785,21.3,22.8,40.2,15.7
E01011789,22.1,17.1,37.5,23.1
E01011791,17.5,16.6,40.9,24.9
E01011792,22.8,17.1,39.8,20.4
E01011771,18.1,15.6,38,28.4
E01011772,17.1,14.3,41.2,27.4
E01011784,16.1,15.7,36.2,31.8
E01011786,19.1,20.1,41,19.8
E01011854,22.6,21,40.7,15.7
E01011855,14.8,16.3,42.8,26.3
E01011856,19,15.3,40.6,25.2
E01011858,17.8,17.5,41.4,23.3
E01011787,14.2,15.9,38.8,31.2
E01011788,11.2,13,35.7,40.1
E01011790,14.1,17.6,39.5,28.6
E01011865,17.3,15.1,38.2,29.4
E01011867,19.7,18.5,37.8,24.2
E01011859,15.2,16.5,33.1,35.4
E01011869,16.2,22.6,42.7,18.4
E01011870,11.6,13,34.4,41
E01011871,15,16.7,39.5,28.7
E01011860,12.6,15.8,41.9,29.6
E01011861,16.4,18.3,41,24.4
E01011862,20.3,18.1,40.4,21.2
E01011863,23.8,18.4,38,19.8
E01011864,25,16.9,38.8,19.3
E01011866,19.8,16.8,37.1,26.3
E01011868,19.2,18,41.2,21.4
E01011872,21.5,17.5,39.3,21.6
E01013461,15.3,12.5,35,37
E01013462,19.3,14.3,40.9,25.6
E01013463,18.3,12.4,37.7,31.9
E01013464,15.7,10.7,37.1,36.5
E01013465,16.1,13.7,35.5,34.5
E01013466,13.4,13.1,37.8,35.8
E01013467,16.5,12.5,36.7,34.2
E01013468,14.1,12.8,34.8,38
E01013469,9.7,10.2,29.8,50.4
E01013574,19,20.4,37.6,23.1
E01013575,15,21.9,40.4,22.7
E01013576,12.6,18.4,40.8,28.1
E01013577,14.7,18.2,44.3,22.8
E01013578,16.3,16.7,46,20.9
E01013579,13.3,19.3,39.5,27.9
E01013580,11.7,23.5,40.9,23.6
E01013530,18.5,24.6,41.7,14.9
E01013531,20,21.2,37.7,21.2
E01013532,19.6,20.9,40.8,19
E01013581,22.1,21.6,40.8,15.6
E01013526,16.5,13.9,38.7,30.7
E01013527,16.9,11.7,40,31.3
E01013528,15.4,16.1,39,29.6
E01013529,15.3,22.2,38.1,24.5
E01013505,16.1,17.1,42.1,24.6
E01013506,12.7,14.5,34.7,38.2
E01013513,21.4,18.1,38.8,21.6
E01013534,18.2,18.6,40.2,22.9
E01013582,16.6,17.3,40.8,25.3
E01013533,23.5,17.6,40.1,18.8
E01013535,31.4,21.7,38.8,8.1
E01013536,24.2,18.8,39.4,17.5
E01013537,15.7,16.8,40.4,27
E01013538,15.1,20.9,40.8,23.1
E01013522,8.8,43.1,31.6,16.5
E01013523,9.2,28.2,39.3,23.5
E01013524,4.5,72.8,17,5.5
E01013525,13.5,23.9,45.1,17.4
E01013548,18.4,15,38.5,27.8
E01013549,20.9,17.7,37.7,23.6
E01013552,19.3,16.9,41.3,22.5
E01013553,22.2,15.7,41,21.2
E01013555,23.4,19.5,43.6,13.4
E01013592,13.4,15.2,39,32.4
E01013594,13.4,10.9,34.8,41
E01013596,14.4,12.8,36.4,36.4
E01013599,15.5,11.5,35.5,37.3
E01013547,10.5,45.5,32.3,11.7
E01013550,19.3,19,42.1,19.5
E01013551,11,51.8,29.1,7.9
E01013554,11.7,35.7,40,12.7
E01013507,15.1,16.7,40,28.2
E01013508,22.2,21.2,38.9,17.6
E01013509,16.8,16.6,40.3,26.2
E01013510,23.3,18.4,40.3,18
E01013511,15.4,12.7,39.4,32.6
E01013512,18.9,17.8,40.2,23
E01013453,13.5,33.6,41.1,11.9
E01013454,19.7,26.8,38.9,14.5
E01013456,16.4,25,45.6,13
E01013457,17.3,21.6,48,12.9
E01013460,13,41.6,37.9,7.6
E01034256,4.2,58.6,31.6,5.6
E01034257,10.4,44.3,38.8,6.7
E01013593,16.4,14.6,36.2,32.8
E01013595,18.7,19.5,39.6,22.3
E01013597,17.5,16.5,37.4,28.5
E01013598,19.5,16.7,39,25
E01013556,15.3,14,36.2,34.6
E01013557,11.9,11.6,33,43.5
E01013558,20.4,15.7,41.9,21.9
E01013559,16.8,14.9,37.7,30.7
E01013564,16.9,17.4,38.6,27.1
E01013480,14.8,26.5,44.3,14.1
E01013483,22.7,24.2,41.3,11.7
E01013485,27.7,24.7,37.8,9.8
E01013565,27,25.4,37.8,9.7
E01013566,21.6,23.6,43,11.9
E01013455,15.8,19,41,24.2
E01013458,16.4,19.7,35.3,28.6
E01013542,17.4,19.9,42.7,20
E01013546,17,16.4,38,28.6
E01013481,24.9,25.9,38.1,10.9
E01013484,26.8,20.1,40.7,12.6
E01013486,27.9,23.7,38.3,10.1
E01013487,26.9,22.5,42,8.4
E01033166,15.3,24.5,43.8,16.4
E01033167,18.2,23.9,41.8,16.1
E01013540,17.4,13.1,40.6,29.1
E01013560,13.8,13.1,34.9,38.1
E01013561,12.9,10.7,36.1,40.3
E01013562,12.3,11.5,33.7,42.2
E01013563,14.7,12.8,38.8,33.5
E01013459,23,23.1,38.6,15.3
E01013567,27.3,25.2,40.2,7.6
E01013568,30.3,24.8,37.1,8
E01013569,26.2,21.3,39.8,12.9
E01013539,20.6,17.2,44.7,17.4
E01013541,25.2,17.1,41.5,16.2
E01013543,19.4,16.6,40.7,23.3
E01013544,16.9,15.9,40.9,26.3
E01013545,19,16.2,38.6,26.1
E01013488,16.8,15.5,38.6,29.3
E01013489,13.7,13.5,38.3,34.4
E01013490,17.1,14.5,38.6,29.9
E01013491,20.8,18.1,38.9,22.2
E01013570,30.4,26.5,35,8.1
E01013571,23.9,22.4,38.1,15.7
E01013572,19,16.8,38.1,26.2
E01013573,24.2,19.1,40.7,15.8
E01013470,19.1,14.3,39.9,26.7
E01013474,17.4,15.5,38.5,28.5
E01013476,9.8,16.1,42.3,31.9
E01033171,19.4,18.2,45.8,16.8
E01033172,18.7,27.8,44.2,9.5
E01013471,19.5,22.9,41.9,15.6
E01013473,18.9,21.5,40.8,18.6
E01013475,29.1,18.2,40.9,11.6
E01013477,16.9,15.1,44.2,23.8
E01013502,22.4,15.5,42.4,19.7
E01013503,18.7,16.7,44.1,20.8
E01013472,20.6,19.9,41.8,17.8
E01013497,23.1,21.1,39.4,16.5
E01013504,25.9,18.3,41,14.9
E01013583,25.1,22.6,39.7,12.5
E01013590,27.1,19.4,43,10.5
E01013591,27.5,22.8,40,9.6
E01013492,16.8,17.5,38,27.5
E01013493,17.8,15.3,39.7,27.3
E01013494,22.7,17.7,39.5,20.2
E01013495,21.2,17.2,39.4,22.1
E01013496,21.4,18.1,36.7,23.9
E01013498,16.8,16.1,38.9,28.2
E01013499,17.2,18.7,39.2,24.9
E01013500,16.5,15,37.4,31.3
E01013501,14.9,17.2,36.8,30.9
E01013584,29.8,21.2,38.7,10.4
E01013585,22.9,15,45.5,16.4
E01013586,25.5,21.9,37.1,15.2
E01013587,20.2,16.6,40,23.1
E01013588,18.4,17.4,36,28.2
E01013589,14.6,18.2,38.6,28.6
E01013517,11.7,16.9,33.9,37.2
E01013518,12.5,15.6,39.5,32.3
E01013521,16.1,14.5,37.2,32.2
E01033168,20.8,17.1,43.2,18.7
E01033169,24.9,16.7,47,11.5
E01033170,19.4,14.7,40.5,25.5
E01013514,15.3,15.7,40.2,28.9
E01013515,21.1,17.1,42.2,19.6
E01013519,22,21.5,44.8,11.6
E01013520,16.9,16.1,41.6,25.5
E01013615,19.3,18.1,45.5,17.1
E01013616,20.2,17.3,43.3,19.3
E01013618,19.3,15.8,44.6,20.5
E01013619,26.7,21.6,37.8,14.1
E01013733,21.5,18.8,46,13.8
E01013734,13.6,13.4,38.4,34.7
E01013735,10.7,15.7,34.2,39.5
E01013736,17.8,17.7,42.5,22.1
E01013737,13.6,17.9,37.8,30.5
E01013600,27.3,18,38.5,16.3
E01013601,24.8,20.7,37.7,16.7
E01013602,24.3,18.3,42.9,14.5
E01013603,23.3,18.6,43.2,15.1
E01013604,25.1,19.8,41,14
E01013605,18.5,23.1,41.5,17
E01013617,19.1,19.7,44.2,17
E01013620,28.4,21.2,38.7,11.6
E01013621,28.6,22.5,39.5,9.4
E01013622,26.6,18.9,38.9,15.6
E01013623,20.8,16,41.5,21.6
E01013732,22.5,21.2,41.9,14.6
E01013739,14.2,15.1,36.5,34.3
E01013740,15.1,16.5,38.4,30.2
E01013741,18.5,18.8,41.3,21.5
E01013625,17.5,20,41.5,20.9
E01013628,18.9,16.8,40.7,23.7
E01013715,13.9,21,40.2,25.1
E01013738,12.8,16.5,37.6,33.1
E01034008,20.1,24.2,40.9,14.7
E01034009,16.3,21.1,41.6,21
E01013624,19.9,22.3,38.7,19.1
E01013626,19,20.2,43.2,17.5
E01013627,13.6,19.2,40.7,26.3
E01013629,17.5,22,40.8,19.7
E01013630,18.5,21.8,43,16.7
E01013606,20.9,15.5,40.1,23.4
E01013680,18.8,19.3,43.6,18.3
E01013685,17,14.6,41.7,26.6
E01013686,17.3,18,40.1,24.4
E01034010,17.3,17.9,41.8,23.1
E01034011,17.3,31.9,43.4,7.6
E01034012,10.8,53.8,31.5,4
E01013713,16.7,21.1,42.4,19.9
E01013714,15.6,21.7,41.5,21.3
E01013717,18.3,23.1,41,17.4
E01013718,17.3,20.9,41.5,20.2
E01013719,16.7,22.3,42.9,18
E01013720,18.1,17.7,39.4,24.8
E01013651,23.6,24.6,39.3,12.6
E01013652,25.1,25.9,38.5,10.4
E01013653,23.5,23.4,40.4,12.6
E01013655,21.6,23.5,44.2,10.8
E01013721,19.5,17.2,37.4,25.8
E01013723,27.3,20.6,40.4,11.7
E01013725,28,21.4,39.2,11.4
E01013726,30,18.6,36,15.6
E01013728,26.7,23.7,37.7,12
E01013694,27.3,17,42.9,12.9
E01013700,18.1,17.9,38.4,25.7
E01013770,18,19.4,38.9,23.4
E01013771,19.4,20.3,39.3,20.9
E01013773,20.1,16.5,39.9,23.6
E01013681,23.5,20.7,47.5,8.4
E01013682,25.7,18.5,46.1,9.9
E01013683,21.5,23.9,47,7.8
E01013684,17.8,34,38.7,9.6
E01013654,22,20.1,41.6,16.2
E01013656,23.4,22.4,42.1,11.9
E01013657,20.8,22.1,41.7,15.3
E01013658,24.5,25.2,40.5,9.7
E01013659,23,23.4,40.4,13
E01013743,18.7,22.9,44.2,14.3
E01013745,21.5,23.5,38.8,16.2
E01013742,18.6,25,40.7,16
E01013744,20.2,23.1,39.8,16.9
E01013746,21.8,20.7,40.8,16.9
E01013748,22.2,26.3,35.6,15.8
E01013754,30.9,21.8,37.5,9.8
E01013755,30.6,20.2,39.7,9.5
E01013660,22.9,21.5,41,14.6
E01013661,25,19.5,40.4,15
E01013664,21.8,18.5,41.5,18.2
E01013665,23.7,21.1,39.5,15.8
E01013667,19,19.2,40.2,21.6
E01013668,20.7,19.6,35.8,24
E01013729,17.2,16.7,44.2,22.1
E01013780,16.9,15.7,41.2,26.2
E01013783,17.4,14,43.1,25.4
E01013785,17.2,14.7,42.4,25.6
E01013786,15.2,20.5,44.9,19.2
E01013662,17.9,25.1,41.5,15.5
E01013663,19.8,22.9,38.9,18.3
E01013747,21.6,23,39.6,15.5
E01013749,23.6,22.7,38,15.7
E01013750,22.3,22.9,39,15.9
E01013758,20.8,25.9,34.8,18.5
E01013751,23.2,22.8,38,16.1
E01013752,23.2,20.7,38.2,17.9
E01013753,25.5,21.9,40.5,12.2
E01013760,17.9,36.2,35.9,9.9
E01013761,27,23.8,39.9,9.2
E01013762,20.2,25,37.8,17.2
E01013774,15.7,33.5,42.9,7.9
E01013776,14.7,41.1,35.9,8.3
E01013779,12.3,38.4,41.1,8.4
E01013781,12,38.3,36.2,13.3
E01013782,15,21.6,42,21.5
E01013784,11.2,36.4,35.1,17.2
E01034013,6.7,66.5,21,5.9
E01034014,13.7,55.7,27.3,3.4
E01013666,16,16.7,36.5,30.7
E01013669,16.6,17.5,38.2,27.8
E01013670,17.9,16.4,35.7,30.1
E01013671,20.4,20.6,37.6,21.5
E01013672,17.5,16.9,36.7,29
E01013631,22.9,22.1,40.3,14.8
E01013632,23.9,21.1,38.3,16.6
E01013638,25.9,18.4,36.4,19.3
E01013640,30.6,21.9,38.8,8.9
E01013756,22.2,24.5,36.1,17.1
E01013757,23,19.3,37.5,20.2
E01013759,20.5,21.3,37.9,20.4
E01013763,17.6,36.2,36.6,9.8
E01013764,21.9,19.9,36,22.1
E01013765,22.4,29.9,38.2,9.4
E01013766,22,24.7,36.5,16.7
E01013633,21.4,19.9,43.4,15.5
E01013634,21.1,18.1,40.3,20.4
E01013637,24.6,17.1,39.9,18.6
E01013639,26.2,18.6,40.7,14.5
E01013641,16.8,27.1,43,13
E01013635,16.5,17.1,42.9,23.3
E01013636,12.8,16.4,43.9,27
E01013777,20,23.8,48,7.9
E01034015,11.2,56,30.5,2.4
E01034016,20.5,31.6,40.2,7.9
E01013642,10.2,40.4,34.6,14.7
E01013643,11.1,47.4,32.2,9.3
E01013649,7.8,38.3,34.8,19.1
E01013650,7,55.1,29.2,8.8
E01013702,15.9,24.2,38.5,21.4
E01013710,15.2,19,43.3,22.6
E01013711,12,19.6,37.1,31.5
E01013613,20.3,23.8,43.8,12.3
E01013614,20,19.7,42.2,17.9
E01013687,15.3,23.5,49.7,11.6
E01013688,20.9,24.4,44.2,10.6
E01013703,18.6,14.1,39.5,27.7
E01013704,13.3,14.6,44.5,27.8
E01013706,18.2,14,41,26.7
E01013707,19.8,14.5,43.8,21.8
E01013712,13.4,16.2,36,34.3
E01013608,19.3,18.8,39.1,22.7
E01013609,13,14.8,40.2,31.9
E01013610,22.3,17.1,41.1,19.5
E01013611,18.2,18.2,36.6,26.9
E01013612,15.3,18.7,42.6,23.3
E01013678,19.4,19.1,40.3,21.3
E01013679,25.3,24.6,39.5,10.5
E01013691,27.5,21.5,36.1,14.9
E01013692,27.4,22.4,38.9,11.5
E01013693,25.7,23.4,36,14.9
E01013673,22.3,19,38.6,20.2
E01013674,20.2,15,36.2,28.9
E01013675,24.3,20.1,37.4,18.2
E01013676,25.9,20,40.5,13.6
E01013677,21.6,18.8,41,18.6
E01013698,25,19.7,37.8,17.4
E01013767,19.5,16.7,39.2,24.6
E01013768,22.3,13.9,35.4,28.3
E01013772,28.2,17.6,38.6,15.5
E01032597,24.2,16.6,41.1,18
E01034017,27.8,18.2,43.6,10.6
E01034018,26.7,17.6,37.9,17.9
E01013689,10.6,59,23.8,6.5
E01013690,22.1,30,36.8,10.9
E01013705,19.5,16.6,38.5,25.5
E01013709,17.7,19,42,21.4
E01032599,19.8,17.1,40.8,22.4
E01013722,25.8,19.6,38.4,16.3
E01013727,26.5,17,39.7,16.8
E01013730,26.9,21.4,40.6,11.2
E01013731,22.3,20.5,41.2,16
E01032602,27.5,21.2,37.3,14.1
E01013648,8.8,69.1,18.9,3.1
E01034019,6.9,56.1,29,8.1
E01034020,6.5,63.7,23.2,6.6
E01034021,3.9,68.4,22.5,5.3
E01032868,1.4,88.8,8.6,1.2
E01032872,5.6,48.9,42.3,3.1
E01032873,5.4,61.7,26.3,6.3
E01034022,4.2,73.9,19,3
E01034023,9.1,50.7,32.2,8
E01032862,26,22.8,44.2,7.1
E01032863,27.2,17.1,45.7,9.9
E01032865,23.5,18.7,45.1,12.7
E01013696,21.8,20.7,41.7,15.8
E01013699,19.4,17.3,40.3,22.8
E01034024,26,19.8,40.2,14
E01034025,19,19.5,41.4,20.3
E01013788,16.8,31.1,33.4,18.8
E01013789,10.8,11.1,36.2,41.8
E01013790,8.9,21.5,48.1,21.6
E01013796,16.2,17.5,40.1,26.3
E01013793,12.7,10.8,34.4,42
E01013800,15.2,12.2,38.3,34.3
E01013809,11.8,12.7,36.3,39.1
E01035102,23.5,14.8,45.3,16.3
E01035103,20,19.4,41.9,18.6
E01035104,17.9,14.9,38.9,28.3
E01013798,15.4,11.8,39.1,33.6
E01013799,19.1,28.6,29.1,23.3
E01013803,14.6,11.7,35.1,38.4
E01035105,12.5,14.9,35.2,37.4
E01035106,10.3,10.1,29.6,49.8
E01013791,15.4,11.4,37.3,35.9
E01013792,13.9,11.2,35.5,39.6
E01013797,13.9,11.6,38.8,35.6
E01013804,15.3,10.3,39.4,35.1
E01013805,19.8,12.7,36.9,30.5
E01013787,11.7,11.8,35.4,41.1
E01013794,11.7,10.7,37,40.5
E01013795,9,10.2,36.3,44.7
E01013806,18.6,35.4,24.7,21.5
E01013807,14.1,12.5,35.5,37.7
E01013808,18.3,13.3,37,31.3
E01013887,16.6,14.1,35.1,34.2
E01013892,10.6,13.6,37,38.9
E01013893,27.7,18.7,41.1,12.5
E01013894,14.2,14.6,36.2,34.9
E01013879,25,18.3,38.7,17.9
E01013880,22.5,16.3,38.5,22.7
E01013881,23.4,17.8,38.6,20.1
E01013882,17.4,18.8,42.1,21.8
E01013885,21,22.4,37.3,19.2
E01013886,21.3,16.3,38.2,24.1
E01013888,15.4,16.8,39.5,28.2
E01013889,15.7,14.7,37.9,31.8
E01013890,18.4,20.2,41.1,20.2
E01013891,21.2,20.3,39.4,19.2
E01013875,15,17.6,39.1,28.4
E01013876,20.4,22.1,39.7,17.9
E01013877,27.1,18.7,38.8,15.2
E01013878,27.2,16.8,39.8,16.2
E01013883,17.9,17.3,39.6,25.3
E01013884,19,17.9,42,21
E01013853,18.2,18.7,38.8,24.4
E01013854,21.4,18.2,40.9,19.7
E01013855,30.8,18,39.6,11.8
E01013856,24.4,17,43.7,15
E01033397,24,21.6,44.6,9.8
E01033398,17.9,22.5,49.6,10.1
E01013963,20.9,17.6,40.2,21.4
E01013964,20.3,16.7,43.6,19.3
E01013965,15.5,21.1,40,23.4
E01013966,20.5,19.1,44.2,16.3
E01013967,12.4,24.7,45.4,17.5
E01013827,21.9,17.5,41.7,18.9
E01013828,18,18.7,47.6,15.6
E01013834,24.7,19.3,39.5,16.3
E01013835,22.3,16.9,39.2,21.6
E01013836,22.6,19.9,43,15
E01013829,19.4,16.8,45.1,18.5
E01013830,17.6,18.4,39.6,24.4
E01013831,14.4,16,42.8,27
E01013832,15.1,29.8,38.7,16.4
E01013833,21.3,19.1,43.9,15.9
E01013935,12.5,17.2,40.2,30.2
E01013968,12.3,10.4,32.9,44.6
E01013969,14.4,22.9,47.8,14.9
E01013970,17.3,20.8,47.7,14
E01013971,16.5,17.8,48.5,17.2
E01013817,31.2,18.5,37.4,12.9
E01013818,29.1,23.1,38.8,9.1
E01013822,28.7,20.6,40.3,10.3
E01013825,27.4,19.2,42.7,10.6
E01013826,31.1,19.5,41.6,7.9
E01013837,17.3,25.9,40.9,16
E01013838,18.6,18.2,45.2,18.1
E01013839,21.1,24.3,42.9,11.7
E01013840,21.7,22.5,42.5,13
E01013841,23.4,21.8,44.9,9.8
E01013819,24.7,20.8,37.7,16.6
E01013820,27.6,19.9,42,10.4
E01013821,28,20,42.2,9.8
E01013823,23.4,22.6,40.6,13.3
E01013824,29.1,17.9,42,11
E01013864,25.9,21.1,42.4,10.4
E01013865,18.4,15.8,40.9,24.7
E01013866,18.9,19.3,38.1,23.8
E01013867,25.8,18.4,39.4,16.3
E01013937,17,19.2,43.5,20.4
E01013938,12.6,23.7,42.7,21.1
E01013941,10.7,30.6,42.8,15.8
E01013943,10,43.8,35.8,10.5
E01013972,12.6,20.8,46,20.7
E01013936,13.5,20.8,46,19.9
E01013939,13.5,15.5,44.8,26.3
E01013940,22.8,20.6,45.2,11.4
E01013942,25.4,19,42.7,12.8
E01013843,15.3,28.8,42.2,13.6
E01013844,18.7,32,38.1,11.1
E01013845,25.9,26.3,41.4,6.5
E01013847,19.4,28,41.7,10.8
E01013810,26.6,23.4,40.3,9.7
E01013811,17.8,37.1,33.6,11.3
E01013812,27.3,25,39.5,8.5
E01013842,22.7,26.7,43.4,7.1
E01013846,16.5,37.7,35.8,9.8
E01013930,26.2,19.8,41.5,12.5
E01013931,19.9,21.1,36.3,22.7
E01013932,22,20.4,40.3,17.4
E01013933,26,24.3,38.1,11.2
E01013934,19,17.3,37.6,26.1
E01013859,15.2,14.3,38.6,32
E01013861,18.8,16.8,36.2,28.4
E01013868,17.9,21.4,34.1,26.4
E01013929,20.3,19.9,39.6,20.1
E01013954,24,18.7,42.6,14.7
E01013959,25.2,20.2,40,14.6
E01013960,23.8,16.3,45.9,14
E01013962,24.3,18.7,42.6,14.5
E01013813,5,75.7,14.3,5.2
E01013814,6.2,68.9,20.9,3.9
E01013815,1.9,77.9,14.4,5.9
E01013816,3.1,83,9.5,4.2
E01013958,21.9,21.8,41.4,14.8
E01013961,10.7,61.5,20.4,7.4
E01033399,4.2,77.8,13.7,4.2
E01033409,1.3,66.5,21.7,10.5
E01033411,19.2,19.7,43,18.1
E01035500,5.8,60.9,27.2,6.1
E01013913,18.2,17.3,40.9,23.4
E01013914,18.5,17.6,38.1,25.7
E01013915,16.2,15.8,38.5,29.7
E01013916,25.6,20.1,41.3,13.1
E01013917,20.8,23.1,43.4,12.6
E01013858,19.2,19.8,41.4,19.6
E01013860,17,18.5,38.8,25.7
E01013862,22.9,20.6,40.2,16.4
E01013863,19.4,18.9,43.2,18.6
E01013944,23.5,21.7,39.8,15
E01013945,13.3,56,24.4,6.1
E01013947,17.2,43.4,31.1,8.3
E01013948,17.5,28,41.9,12.5
E01013953,4.9,78.3,14.3,2.8
E01033395,2.1,89.6,7.2,1
E01033396,15.7,42.5,31.7,10.2
E01032520,6.3,38.1,37.8,17.7
E01032522,5.2,51.8,30.8,11.9
E01035501,7.9,65.2,21.3,5.8
E01035502,3,89.8,5,2.4
E01013918,23.7,28.2,39.7,7.9
E01013919,15.9,30.1,44.9,9.2
E01013920,12.3,25.4,45.1,17.2
E01013921,26.1,23.4,41.3,9.3
E01013957,25.5,21.5,42.1,10.9
E01013980,19.2,14,40.9,26.1
E01013982,18.6,14.8,38.5,28.1
E01013983,22.1,16.9,43.2,18
E01013984,16.3,10.3,34.5,38.7
E01013985,18.4,11.9,36.3,33.3
E01013928,7.9,66.7,20.7,4.8
E01033410,3.9,76.8,12.3,7.2
E01035503,3.4,84,8.5,4.2
E01035504,6.6,68.9,18.1,6.4
E01035505,9,66.5,17.4,7.2
E01013895,13.1,13.4,36.3,37.2
E01013896,16.3,22.1,38.4,23
E01013901,18.8,15.1,44.9,21.6
E01013902,15.6,15,41.9,27.1
E01013897,17.9,22,37.3,22.9
E01013898,8.4,66,17.5,8.2
E01013899,20.3,20.3,39.6,19.7
E01013900,21.3,18,39.7,21.1
E01013903,16.3,17.8,38,28
E01013907,18.8,18.4,37.1,25.9
E01013905,22.1,17.1,39.3,21.3
E01013908,18.6,16.9,34.7,29.8
E01013909,16.7,17.6,33.5,32.2
E01013912,14.4,15.6,36.9,33.1
E01013904,20.8,18.3,38.9,21.9
E01013906,21.1,19.4,39.8,19.5
E01013910,19.6,20.1,40.6,19.6
E01013911,18.6,17.3,39.9,24
E01013849,20.6,17.3,39.3,22.7
E01013850,18.7,16.8,40.4,24.3
E01013851,22.7,17.4,38.2,21.6
E01013852,19.7,18.3,40,22
E01032621,15.3,17.3,39.6,27.9
E01013874,15.2,25,45.4,14.2
E01033400,7.3,64.3,23.9,4.5
E01033402,3.7,61.3,33.1,1.9
E01033407,3.5,66.7,26.6,3.2
E01035506,3.3,67.2,25.9,3.6
E01013870,22.4,24.5,38.2,14.8
E01013871,21,19.4,37.7,22.1
E01013872,23.1,22.5,41.1,12.8
E01013873,23.2,27,42,8
E01013977,19.2,13,39.1,28.4
E01013978,21.4,18.5,41.1,19.1
E01013979,19.6,15.7,44,20.6
E01013981,19.1,13.9,38.1,28.8
E01035507,5.8,62.3,17.8,14.2
E01035508,9.1,65.8,19,6.2
E01026971,14.6,15,42.2,28.4
E01026979,16.8,13.2,38.9,31.2
E01026980,12.9,12.4,37.5,37.1
E01026982,21.4,18.8,43.3,16.5
E01026969,17.1,16,38.4,28.5
E01026970,19.8,17.1,44.4,18.4
E01026972,19.1,19.2,45.4,16.2
E01026976,21.3,18.9,44.1,15.7
E01026981,14.2,14.5,37.8,33.4
E01026983,16.6,16.5,45.1,21.6
E01026957,18.4,16.7,41.1,23.9
E01026958,20,20.6,46.2,13.5
E01035393,25.8,19,49.1,6.1
E01035394,25.4,20.4,46.5,7.6
E01035395,18.7,15.2,45.8,20.3
E01035396,22.4,22.3,40.5,14.8
E01035397,28.5,16.5,47.3,7.7
E01035398,14.2,12.5,39.7,33.7
E01026962,16.3,17.3,42.8,23.6
E01026973,18.5,16.5,40.7,24.5
E01026974,14,13.3,37.4,35.3
E01026975,17.6,15.8,42.1,24.4
E01026984,19.3,16.6,39.8,24.2
E01026985,20.7,17.8,38.1,23.5
E01026949,17.4,17.5,41.4,23.8
E01026950,18.9,21.9,45.2,14
E01026951,20.2,21.3,43.9,14.6
E01026952,16.3,14.9,44.8,24
E01026959,18.1,19,40.3,22.6
E01026960,18.4,22.8,42.3,16.5
E01026961,19,21.2,42.6,17.4
E01026965,23.8,21.3,43.3,11.7
E01026966,19,17.7,38.1,25.3
E01026967,19.5,17.6,42.8,19.9
E01026968,26.1,19.6,39.8,14.6
E01027033,16.4,12,41.3,30.5
E01027043,16.7,12.9,37.9,32.4
E01027050,14.9,11.3,38,35.9
E01027031,12.8,13.6,38.6,35.2
E01027044,14.7,11.8,39.1,34.4
E01027046,19.5,13.9,41,25.6
E01027047,15.9,12.5,36.1,35.5
E01027048,21.8,30.7,23.5,23.9
E01027049,13.2,11.5,36.7,38.8
E01027032,12.9,11.8,39.1,36.2
E01027045,13.5,13.2,40.4,32.8
E01027075,17,16,44.7,22.4
E01027076,15.5,15.6,40.3,28.6
E01035407,18.9,16.6,44.1,20.4
E01035408,22,23.5,40.4,13.9
E01027057,17.8,15.6,39.9,26.7
E01027074,14.8,11.3,39,34.9
E01027078,13.3,12.9,37.6,36.3
E01027051,18,16.5,41.4,24.1
E01027052,16.4,16.2,40.6,26.9
E01027053,18.1,17.1,40.8,24.1
E01027054,13,11.8,34.5,40.9
E01027055,17.1,16.4,37.5,28.6
E01027056,20.2,17.2,39,23.6
E01027038,18.9,19.1,39.1,22.9
E01027039,18.3,18.1,39.6,23.9
E01027040,15.8,15.7,42.9,25.6
E01027041,19.6,18.7,37.4,24.3
E01027042,19.2,16,44.4,20.4
E01027034,14,14.3,36.6,35.3
E01027035,17.9,16.3,39.3,26.7
E01027037,19.5,15.3,42.5,22.8
E01033244,19.7,14.9,44.6,20.8
E01033245,16.5,17.2,41.3,25
E01027061,21.2,18,43,17.7
E01027062,16.2,19,40.7,24
E01027063,14.7,14.8,39.8,30.8
E01027064,16.4,11.8,37.9,33.9
E01027072,26.4,18.4,38.8,16.7
E01027073,17.2,15.8,40.8,26.2
E01027058,20.7,17,39.3,23
E01027059,18,18.6,41.2,22.2
E01027060,19.9,20.5,42.5,17
E01027065,15.3,19.8,44,20.9
E01027069,14.9,16.6,41.4,26.9
E01027066,14.5,14.9,40,30.7
E01027067,14,13,35.4,37.8
E01027070,13.8,15.2,38.8,32
E01027071,14.6,15.7,39.4,30.4
E01035409,21.3,15,42.8,21
E01035410,16.9,17.7,43.8,21.6
E01027090,13.3,13.7,40.4,32.7
E01027103,16,10.9,40.1,32.9
E01027129,12.5,11.7,37.5,38.5
E01027094,13.1,13,34.1,39.8
E01027095,18.5,18.2,40.5,22.6
E01027107,16,14.5,38.4,31.1
E01027108,13.3,10.6,34.6,41.3
