LSOA code,Aged 14 years and under,Aged 15 to 29 years,Aged 30 to 59 years,Aged 60 years and over
E01012144,15.6,14.2,39.6,30.7
E01012106,14.6,16.3,38.9,30.1
E01012107,18.8,16.1,36.6,28.6
E01032560,13,16.9,36.1,33.9
E01032561,24.9,20.9,37.1,17.2
E01012176,11.9,13.9,34.4,39.7
E01012177,14,14.7,40.6,30.8
E01012178,13.1,14.8,39.6,32.6
E01012179,17.9,17.5,39.2,25.3
E01012180,17,18.3,44.6,20.2
E01012185,17.5,14.7,39,28.8
E01012186,13,10.5,38.4,37.9
E01012127,21.5,15.8,38.9,23.7
E01012128,21.7,16.9,36.4,24.9
E01012129,18.4,13.6,37.3,30.6
E01012130,11.7,11.8,37.5,39.3
E01012131,21.2,16.8,31.6,30.3
E01012138,18.1,17,42.6,22.3
E01012139,11.4,14,37.4,37.2
E01012140,16.3,13.9,37.1,33
E01012141,12.2,10.5,33,44.1
E01012154,7.7,10.6,29,52.8
E01012155,17.6,13.7,38.6,30
E01012156,12.3,13.4,35.7,38.6
E01012157,13,13.9,38.7,34.2
E01012158,12.4,9.1,32.6,46
E01012159,8.2,11.8,42.6,37.4
E01012160,14.5,10.4,35.7,39.5
E01012161,13.2,12.9,40.1,33.8
E01012113,30.1,18.9,38,12.9
E01012114,25.9,20.9,38.3,14.9
E01012175,23.1,17.5,35,24.4
E01033471,26.9,20.1,36.4,16.6
E01012095,12.3,12.8,35.7,39
E01012097,12.5,10.3,32.4,44.8
E01012098,17.6,15.5,39.1,27.8
E01012099,22.5,20.2,39.3,18.2
E01012108,19,16.3,40.4,24
E01012109,12.8,13.5,40.2,33.5
E01012110,14.8,15.4,43.1,26.5
E01012111,15,14.7,34.4,36.1
E01012171,13,16.3,32.7,37.8
E01012172,11.9,14.1,35.8,38.2
E01012162,15.2,17.3,39,28.3
E01012163,17.5,15,38.7,28.7
E01012164,11.7,12.2,39.2,36.9
E01012165,20.9,17.9,39.4,21.8
E01012096,17.3,18.1,39.7,25
E01012136,17.1,18.1,36.1,28.7
E01033473,24,16,35.3,24.7
E01012112,23.4,20.1,34.2,22.3
