LSOA code,Main language is English (English or Welsh in Wales),Main language is not English (English or Welsh in Wales): Can speak English very well,Main language is not English (English or Welsh in Wales): Can speak English well,Main language is not English (English or Welsh in Wales): Cannot speak English well,Main language is not English (English or Welsh in Wales): Cannot speak English
E01013656,30.4,13.8,19.4,22.6,13.7
E01013658,29.6,16,23,19.9,11.4
E01013654,41.3,13.5,17.5,17.3,10.4
E01034730,53,7.6,15,14,10.4
E01013719,30.8,16,23.8,19.5,9.9
E01013720,33.9,13.7,25.5,17.4,9.6
E01013743,45.4,11.6,15.8,18.2,9
E01013715,34.6,14,21.9,20.6,8.8
E01034009,35.5,14.7,20.4,20.8,8.7
E01013714,37.1,14.9,20.9,18.6,8.6
E01013655,43.2,14.4,16.6,17.3,8.6
E01013718,37.5,13.5,20.3,20.3,8.5
E01013657,50.2,12,16.1,13.9,7.8
E01013713,34.1,12.7,23.2,22.4,7.6
E01003185,75.8,7.2,4.6,5.2,7.2
E01023144,56.6,12.2,14.4,9.8,7
E01013659,45.3,11.6,18.2,17.9,7
E01013625,40.5,15.3,19.1,18.2,6.9
E01013742,52.3,11.8,13.3,16,6.7
E01013626,39.4,15,21.5,17.7,6.4
E01013627,45.6,16.3,17.7,14.2,6.2
E01034008,38.9,17.6,21,16.4,6.1
E01013665,54.8,12.3,16.1,11.1,5.9
E01000473,47.5,15.6,16.9,14.1,5.8
E01013630,38.1,17.5,21.3,17.4,5.7
E01013746,48.4,12.9,19.3,13.8,5.6
E01013662,50.2,11,17.1,16.2,5.6
E01013717,50.8,13.5,16.4,13.8,5.5
E01033880,51.4,9.4,15.6,18.1,5.5
E01000477,41.6,16.8,20.3,16.3,5.1
E01013744,57,11.1,14.4,12.3,5.1
E01013629,42.6,17.6,19.2,15.6,4.9
E01013745,54,11.8,13,16.3,4.9
E01010049,46.3,11.5,19.3,18.1,4.9
E01000633,44.5,14,22.8,14,4.8
E01000632,44.9,18,19.5,13,4.7
E01013628,54.6,12.1,16,12.5,4.7
E01023145,67,8.5,12,7.8,4.7
E01026032,49.6,10.4,18.1,17.4,4.5
E01010048,44,14.1,21.1,16.4,4.4
E01013753,54,13.2,15.6,12.8,4.4
E01013752,51.8,13,15.4,15.4,4.4
E01009350,64.4,7.6,12.3,11.3,4.4
E01000474,49.2,13.4,21,12.1,4.3
E01013660,58.1,11.1,15.2,11.3,4.3
E01034681,49.3,9.5,20.6,16.4,4.2
E01000476,48.7,13.7,18.1,15.4,4.1
E01034919,66,6.5,10.4,13,4.1
E01010428,48.9,11.9,21.3,13.8,4
E01004239,72.4,6.2,7.9,9.5,4
E01013750,52.9,12.7,18.2,12.3,3.9
E01013748,59.9,10,15.5,10.7,3.9
E01005450,62.7,8.2,14.1,11,3.9
E01012868,68.8,7.3,11.2,8.8,3.9
E01025229,63.7,6.9,13.5,12.1,3.9
E01010433,51.2,14.3,16.5,14.1,3.8
E01010047,60.3,12,12.8,11,3.8
E01033900,62.8,8.5,13.1,11.8,3.8
E01034924,72.1,6.6,8.4,9,3.8
E01033653,67,15.7,8,5.6,3.7
E01018487,59.6,8.7,16.5,11.5,3.7
E01015725,56.8,8.3,16.1,15.1,3.7
E01033901,65.8,6.7,12.8,11,3.7
E01013762,52.6,14.9,16.3,12.5,3.6
E01001334,57.9,13.4,14.1,11,3.6
E01013653,64.5,9.7,12.1,10.1,3.6
E01009483,64.5,9,11.3,11.5,3.6
E01009482,69.3,8.5,9.7,8.9,3.6
E01009192,68.4,8.1,8.6,11.4,3.5
E01025188,64.3,7.2,14.5,10.4,3.5
E01000478,47.5,16.3,19.1,13.7,3.4
E01013755,52.7,14.2,17.5,12.1,3.4
E01013624,61.1,13.2,13.5,8.9,3.4
E01034682,46.2,12.1,21.9,16.4,3.4
E01013747,56.2,10.9,16.1,13.4,3.4
E01010606,61.4,8.3,15.2,11.8,3.4
E01010608,65.2,7.5,12.5,11.4,3.4
E01008906,68.2,7.4,9.7,11.3,3.4
E01005351,70.4,6.6,8.9,10.7,3.4
E01025182,67.5,4.9,13.7,10.5,3.4
E01001274,55.4,16.5,13.9,11,3.3
E01016405,57.2,14.8,17,7.7,3.3
E01013765,53.6,13.3,16.1,13.6,3.3
E01012872,62,8.7,14.3,11.8,3.3
E01010054,73.9,7,8.8,6.9,3.3
E01009328,70.4,6.9,9.6,9.7,3.3
E01005459,71,5.7,8.5,11.5,3.3
E01010841,69.7,5.2,10.4,11.4,3.3
E01003628,51.1,14.5,20.1,11.2,3.2
E01013761,56.5,12.7,15.8,11.8,3.2
E01010050,59.7,11.6,13.5,11.9,3.2
E01034946,74.8,9.8,7.8,4.5,3.2
E01015729,59.1,8.2,16.4,13.1,3.2
E01009987,67.7,6.8,9.9,12.4,3.2
E01005353,70.6,4.5,8.4,13.3,3.2
E01013663,57,13.1,14.6,12.3,3.1
E01005233,53.4,12.5,18.7,12.3,3.1
E01013751,53.9,12.3,17.6,13.1,3.1
E01009986,63.9,12.2,11.1,9.6,3.1
E01034921,52.9,11.4,17.7,14.9,3.1
E01004846,66.2,11,12.8,6.8,3.1
E01009337,64.5,8.9,11.7,11.9,3.1
E01013847,64.1,8.2,15.3,9.3,3.1
E01011144,64.3,7,13.2,12.4,3.1
E01004869,67.3,6.8,13.1,9.7,3.1
E01005427,67.5,6.8,11.4,11.2,3.1
E01005583,65,6.8,10.3,14.9,3.1
E01025230,65.2,6.7,12.4,12.7,3.1
E01005349,65.4,5.6,11.4,14.5,3.1
E01033650,69.3,5,11.3,11.3,3.1
E01034011,56,18.9,15.8,6.4,3
E01013754,49.9,17.4,17.4,12.3,3
E01033916,48,17.4,20,11.7,3
E01000640,57,12.1,16.7,11.3,3
E01009565,61.7,11.7,13.5,10.1,3
E01002038,60.4,10.6,13.8,12.2,3
E01005237,60.5,9.6,15.5,11.5,3
E01015704,58.7,9.5,15.6,13.2,3
E01005280,70.5,9.2,10,7.3,3
E01026036,57.5,8.6,17.3,13.6,3
E01034933,67.5,8.2,11,10.2,3
E01005429,69.4,7.1,10.1,10.5,3
E01010620,68.9,7,11.1,10,3
E01009338,67.9,6.5,11.3,11.3,3
E01010617,72.1,6,10.7,8.2,3
E01034235,69.7,5.9,9.7,11.6,3
E01025184,68.1,5.2,13.3,10.4,3
E01035618,43.7,15,21.6,16.8,2.9
E01002044,60.2,14,11.6,11.4,2.9
E01015604,50.2,13,18.1,15.8,2.9
E01001675,57.3,12.9,19.3,7.6,2.9
E01002066,60.2,11.5,11.8,13.6,2.9
E01010342,63.8,11.1,12.5,9.8,2.9
E01003125,69.3,10.7,11.3,5.9,2.9
E01010478,62.6,10.4,14.4,9.6,2.9
E01010836,62.7,10.1,13.4,11,2.9
E01002051,62.2,8.8,16.6,9.5,2.9
E01024895,67.5,7.1,13.7,8.7,2.9
E01011257,68.7,7,10.2,11.2,2.9
E01009062,69.3,7,9.1,11.7,2.9
E01010808,70.9,6.1,10.1,9.9,2.9
E01011017,69,6,10.5,11.6,2.9
E01009396,69.9,5.9,10.2,11.2,2.9
E01005326,73.6,4.6,9.6,9.2,2.9
E01001373,56.5,16.6,15.7,8.5,2.8
E01000471,49.7,16.3,20.3,10.8,2.8
E01004306,70.1,13.4,7.2,6.6,2.8
E01034680,54.2,13.3,16.9,12.9,2.8
E01001673,60.5,12.4,16,8.3,2.8
E01012871,56.2,10.5,17.5,13,2.8
E01015603,53.3,10.2,19.6,14.1,2.8
E01013483,65.3,9.9,12.9,9,2.8
E01023105,74.2,9.9,9.5,3.6,2.8
E01013485,60.7,9.1,16.4,11,2.8
E01001979,65.5,9.1,13.2,9.4,2.8
E01009373,67,8.3,10.5,11.4,2.8
E01007913,62.7,7.8,15,11.6,2.8
E01010621,70.8,7,10.1,9.4,2.8
E01011082,68.8,7,11.2,10.2,2.8
E01035681,73.5,6.8,9.4,7.5,2.8
E01009491,72,6.7,9.3,9.2,2.8
E01012573,70.7,6.6,10.7,9.3,2.8
E01024875,63.9,6.6,14,12.7,2.8
E01009053,69.1,6.5,11.3,10.4,2.8
E01005354,77.4,5,7.2,7.7,2.8
E01014463,89.6,2.7,2.6,2.3,2.8
E01013740,52.5,18,17.2,9.5,2.7
E01001297,53.1,15.6,17.3,11.3,2.7
E01003629,49.1,14.3,20.6,13.3,2.7
E01013567,56.4,12.1,17,11.8,2.7
E01013651,61.6,12.1,15.9,7.7,2.7
E01005428,60.6,11.9,14.8,10,2.7
E01004319,63.8,11.2,11.5,10.9,2.7
E01033649,66.4,11,10.5,9.3,2.7
E01002048,67.8,11,9.9,8.6,2.7
E01005234,62,10.5,13.3,11.5,2.7
E01013763,61.7,10.5,13.7,11.4,2.7
E01024878,65.8,9.8,10.8,10.9,2.7
E01010838,61.5,9.8,14.9,11,2.7
E01010812,62.4,9.4,14.7,10.8,2.7
E01011430,62.2,9.4,14.9,10.8,2.7
E01013760,65.4,9.3,13.4,9.1,2.7
E01011429,68.1,8.8,11.2,9.3,2.7
E01013300,54.5,8.4,20.3,14.2,2.7
E01009275,66.6,8.4,11.9,10.4,2.7
E01004871,63.8,8.2,15.4,9.9,2.7
E01024877,68.6,7.8,9.5,11.3,2.7
E01012575,73,7.6,8.8,8,2.7
E01009266,63.8,7.5,14.6,11.4,2.7
E01004812,65,7.4,13.4,11.6,2.7
E01009353,66.5,7.4,13,10.4,2.7
E01009372,68.2,7.4,10,11.8,2.7
E01010624,66.2,6.7,12.9,11.5,2.7
E01008905,66.7,6.1,10.6,14,2.7
E01010965,71.8,5.7,10,9.7,2.7
E01010733,72,4.5,11.6,9.2,2.7
E01026488,74.7,4.3,9.4,8.9,2.7
E01012385,92.6,1.3,1.2,2.1,2.7
E01000475,52.3,16.9,18.6,9.4,2.6
E01002087,60.3,14.6,14.3,8.2,2.6
E01033935,60,14.5,13.5,9.4,2.6
E01007769,52,14.3,17.3,13.9,2.6
E01001369,55,14.2,17.5,10.6,2.6
E01001333,56.9,14,17.2,9.3,2.6
E01034138,49.2,13.2,20.7,14.3,2.6
E01001367,55,12.7,18.3,11.4,2.6
E01000559,68.1,12.4,11.4,5.5,2.6
E01013810,61.4,11.4,14.4,10.3,2.6
E01004327,67.8,11.4,13.3,4.8,2.6
E01009269,60.9,10.5,14.5,11.5,2.6
E01009391,64.3,10,12.6,10.5,2.6
E01026030,61.1,9.9,14.2,12.2,2.6
E01010839,64.1,9.6,11.3,12.4,2.6
E01023116,76.7,9.2,7.8,3.7,2.6
E01013484,62.5,9.1,13.6,12.2,2.6
E01010059,66.7,9.1,12.9,8.7,2.6
E01013296,51.4,8.9,20.8,16.3,2.6
E01012892,67.9,8.8,11.8,8.8,2.6
E01010019,65.4,8.8,13.5,9.7,2.6
E01012869,61.5,8.4,17.2,10.3,2.6
E01004522,77.3,8.2,9.1,2.8,2.6
E01013486,66.7,7.6,12.4,10.7,2.6
E01034953,68.1,7.5,12.2,9.7,2.6
E01033643,66.9,7.1,12.7,10.8,2.6
E01001547,71.8,7.1,9.8,8.7,2.6
E01033896,67.2,7,12,11.2,2.6
E01025224,66.1,6.9,14.8,9.6,2.6
E01012578,70,6.8,10.7,9.8,2.6
E01009195,71.8,6.7,10,8.8,2.6
E01009376,72,5.8,10.2,9.4,2.6
E01034234,69.2,5.7,11.5,11.1,2.6
E01009383,75.7,5.6,7.8,8.3,2.6
E01009479,74,5.1,8.8,9.5,2.6
E01009979,78.8,4.5,6.7,7.4,2.6
E01010804,77.1,4.1,8.2,8,2.6
E01034031,46.5,21.3,18.2,11.5,2.5
E01001372,56.7,15.3,15.6,9.8,2.5
E01003551,58.5,14.5,14.6,9.9,2.5
E01000510,57.2,14.3,16.7,9.2,2.5
E01013732,56.6,14.2,16,10.7,2.5
E01001700,64.7,13.9,12.9,6,2.5
E01013652,62.7,12.1,13.6,9,2.5
E01013844,66.5,11.7,13.3,6,2.5
E01026010,55.6,11.7,17,13.2,2.5
E01013661,64.3,11.5,11.8,9.9,2.5
E01011433,56.7,11.1,17.5,12.1,2.5
E01007949,61.3,10.9,17.4,7.9,2.5
E01002036,61.3,10.9,14.6,10.7,2.5
E01010429,61.5,10.4,15.1,10.5,2.5
E01023122,73.7,10.3,8.7,4.9,2.5
E01004827,64.5,9.9,14.2,8.9,2.5
E01010057,64.2,9.3,14,10,2.5
E01001978,64.3,9.3,12.7,11.3,2.5
E01009343,64.6,9.1,12.4,11.4,2.5
E01015600,55.3,9.1,19.1,14,2.5
E01001554,65.5,9,12.2,10.9,2.5
E01004289,72.5,8.9,9.5,6.5,2.5
E01002039,67.6,8.6,10.3,11.1,2.5
E01023118,69.2,8.4,13.6,6.4,2.5
E01010052,68.6,7.4,10.6,10.9,2.5
E01009331,68.8,7,11.9,9.9,2.5
E01009197,72.6,6.7,10.4,7.7,2.5
E01005350,72.6,6.4,9.5,9,2.5
E01009487,74.6,6.2,9.2,7.6,2.5
E01009329,68.2,6.2,10.8,12.2,2.5
E01008910,71.5,6.1,10,9.8,2.5
E01023119,79.6,5.5,8.5,3.9,2.5
E01034923,74.4,4.9,8.9,9.2,2.5
E01009047,73.7,4.8,9.1,9.8,2.5
E01010066,85,4.3,4.1,4.1,2.5
E01002637,53.5,19,16.6,8.4,2.4
E01002631,55.5,18.2,16.3,7.6,2.4
E01001368,52.9,15.7,17.9,11.1,2.4
E01001336,62.1,13.9,13.1,8.5,2.4
E01002621,61.9,13.9,13.2,8.6,2.4
E01013779,56.8,13.6,18.3,9,2.4
E01005145,57.3,13.2,16.2,11,2.4
E01008331,62.7,12,13.9,9,2.4
E01013566,54.4,11.8,16.2,15.2,2.4
E01033933,59.8,10.7,15.9,11.2,2.4
E01002069,61.5,10.6,15.7,9.8,2.4
E01010055,61.3,10.5,15.7,10,2.4
E01001432,63.9,10.4,13.4,9.9,2.4
E01005166,64.3,9.8,13.6,9.9,2.4
E01010731,63.9,9.8,13.7,10.2,2.4
E01002094,71,9.8,9.4,7.3,2.4
E01002034,66.8,9.8,10.4,10.6,2.4
E01004811,63.9,9.7,14.9,9.2,2.4
E01023120,73.4,9.7,9.4,5.1,2.4
E01011344,65.7,9.4,14,8.5,2.4
E01009271,61.3,9.4,14.1,12.8,2.4
E01015727,65.2,9.3,13.2,9.9,2.4
E01009351,59.2,9.2,15.5,13.7,2.4
E01009637,65.6,9.1,14,8.9,2.4
E01013664,67,9,12.2,9.4,2.4
E01001461,67.9,9,12.2,8.6,2.4
E01009377,69.7,8.8,10.6,8.5,2.4
E01010106,65.7,8.7,13.5,9.6,2.4
E01009274,67.8,8.4,11.8,9.7,2.4
E01009399,67.9,7.8,12.3,9.6,2.4
E01011913,67.7,7.7,12.1,10.1,2.4
E01009325,74.2,7.6,8.6,7.3,2.4
E01015698,62,7.6,16.1,11.8,2.4
E01010966,70.8,7.2,8.7,10.8,2.4
E01009375,71.6,7.2,10.2,8.5,2.4
E01023129,75.8,7.2,9,5.6,2.4
E01010737,64.6,6.9,12.5,13.7,2.4
E01011143,69.3,6.9,11.2,10.2,2.4
E01012580,67.5,6.8,12.8,10.5,2.4
E01012630,70,6.6,11.2,9.9,2.4
E01010263,73.6,6.6,10.4,7,2.4
E01004816,73.6,6.5,12.4,5.2,2.4
E01008916,69.4,6.5,12.4,9.3,2.4
E01011258,73.4,6.1,10.2,8,2.4
E01009380,64.9,6,14.5,12.2,2.4
E01009371,68.8,6,11.6,11.2,2.4
E01010702,74.4,5.4,9.1,8.7,2.4
E01009061,71,5.4,10.6,10.5,2.4
E01009059,78.4,5.4,7.7,6.1,2.4
E01010809,71.8,4.7,10.2,10.9,2.4
E01010840,72,4,8.9,12.6,2.4
E01011381,88.9,3.1,3.1,2.6,2.4
E01033735,62.1,17.5,11,7.1,2.3
E01001298,53.3,16.9,17.6,9.9,2.3
E01032744,59.5,16,15,7.2,2.3
E01000639,64.5,15.4,12.2,5.6,2.3
E01003491,54.1,15.3,18.2,10.1,2.3
E01015599,54.8,13.7,17.8,11.4,2.3
E01035542,56.3,13.2,18.3,9.9,2.3
E01013568,55.9,13,16.5,12.3,2.3
E01015730,53.8,12.9,18.9,12.2,2.3
E01034737,67.2,11.4,10.6,8.5,2.3
E01004851,61,10.7,15.7,10.3,2.3
E01013481,64,10.5,12.9,10.2,2.3
E01001976,63,9.8,15,9.9,2.3
E01004312,71.8,9.7,8.6,7.6,2.3
E01035190,69.8,9.4,10.8,7.7,2.3
E01015699,61.6,9.4,15.9,10.9,2.3
E01002074,67.6,9.4,12.3,8.5,2.3
E01004301,68.7,9.4,10,9.6,2.3
E01005024,68.5,9.3,12,8,2.3
E01001429,66.5,9.1,11.5,10.6,2.3
E01001425,65.1,9,11.6,12,2.3
E01011422,69,8.8,11.1,8.7,2.3
E01002045,65.1,8.8,13.4,10.3,2.3
E01024876,66.6,8.6,12.9,9.6,2.3
E01033693,68.1,8.6,12.2,8.8,2.3
E01024856,64.3,8.1,13.8,11.5,2.3
E01011426,72.4,8.1,9,8.1,2.3
E01015788,66.2,7.8,12.2,11.5,2.3
E01035683,72.3,7.6,9.6,8.2,2.3
E01012657,67.3,7.5,13.8,9,2.3
E01005470,66.6,7.5,12.2,11.3,2.3
E01010740,67.8,7.4,12.5,10,2.3
E01010743,69.3,7.4,10.3,10.6,2.3
E01004670,70.2,7.4,11.4,8.6,2.3
E01010622,67,7.3,13.2,10.2,2.3
E01009354,68.2,6.4,11.8,11.3,2.3
E01010996,70.8,6.3,9.7,10.9,2.3
E01005483,71.6,6.2,11.2,8.7,2.3
E01034920,70.3,6,9.2,12.1,2.3
E01005461,72.4,5.9,9.5,9.8,2.3
E01034932,76.1,5.8,8.3,7.5,2.3
E01010843,70.9,5.7,9.7,11.4,2.3
E01010813,73,5.5,10.2,9,2.3
E01009339,73.3,5,9.5,9.9,2.3
E01010673,75.8,3.8,8.9,9.2,2.3
E01010676,74.4,3.8,9.9,9.5,2.3
E01005848,90.6,3.7,2.4,1.1,2.3
E01000472,58.1,17.2,16,6.4,2.2
E01013737,55.8,16.2,16.2,9.6,2.2
E01001366,50.8,16.2,19,11.7,2.2
E01001359,52.3,15.3,19.2,11,2.2
E01013565,56.7,14.9,13.4,12.8,2.2
E01001365,53.3,14.5,18.7,11.4,2.2
E01010427,63.8,12.6,13.2,8.2,2.2
E01000494,69.3,12.2,10.7,5.7,2.2
E01033891,60.7,11.6,16.3,9.2,2.2
E01012040,62.6,11.5,15.2,8.6,2.2
E01034137,55.9,11.5,17.7,12.7,2.2
E01010432,64.1,11.5,14.2,8,2.2
E01013749,66.1,11.2,11.9,8.5,2.2
E01000627,58.3,10.9,19.4,9.2,2.2
E01001479,62.6,10.5,15,9.8,2.2
E01001195,62.5,10.4,16.7,8.3,2.2
E01001562,66.9,10.4,10.8,9.7,2.2
E01013845,62.3,10.2,14.6,10.6,2.2
E01024257,65.7,10.1,13.6,8.4,2.2
E01005238,65.2,10,13.7,8.9,2.2
E01005235,69.1,9.9,11.3,7.5,2.2
E01034679,56.6,9.8,18.1,13.3,2.2
E01002071,67,9.6,11.5,9.7,2.2
E01013569,64.5,9.4,13.4,10.6,2.2
E01034952,71.8,9.3,11.2,5.5,2.2
E01002076,64.5,9.2,14.7,9.4,2.2
E01009333,67,8.9,11.4,10.6,2.2
E01001504,67.5,8.3,13.1,8.8,2.2
E01033890,69.2,8.2,12.2,8.2,2.2
E01033112,55.9,8.1,17.4,16.4,2.2
E01026598,68.8,7.8,12.4,8.9,2.2
E01009485,71.3,7.6,8.6,10.3,2.2
E01009361,68.1,7.4,12.5,9.8,2.2
E01010701,72.9,7.1,8.4,9.5,2.2
E01015726,68.7,7.1,12.3,9.7,2.2
E01010964,69.5,7,11.9,9.5,2.2
E01009058,70.4,6.8,11.4,9.2,2.2
E01009489,69.9,6.6,10.5,10.9,2.2
E01026626,72.2,6.5,9.9,9.2,2.2
E01005430,71.1,6.4,12.5,7.8,2.2
E01009044,72.5,6.4,11.1,7.8,2.2
E01012622,74.1,6.3,11,6.4,2.2
E01034934,71.7,6.3,9.4,10.4,2.2
E01009355,72.4,5.9,11.3,8.3,2.2
E01034926,75.4,5.9,8.1,8.5,2.2
E01001824,77,5.9,8.3,6.7,2.2
E01010268,76.8,5.5,8.3,7.1,2.2
E01009368,74.3,5.4,8.7,9.5,2.2
E01009151,71.6,5.2,10.4,10.6,2.2
E01010744,71.2,5,11.9,9.6,2.2
E01009893,79.4,4.8,9.1,4.6,2.2
E01034016,56.3,15.8,17.8,8,2.1
E01013741,55.1,15.6,17,10.2,2.1
E01035543,50.7,15.4,21.3,10.4,2.1
E01005285,61.7,14.5,13.7,8.1,2.1
E01001371,58.8,14.3,15,9.9,2.1
E01002100,59.5,14,15.1,9.3,2.1
E01001674,63.4,13.5,14.1,6.9,2.1
E01003618,60.9,13.4,16.9,6.7,2.1
E01034842,57.3,13.3,17.1,10.2,2.1
E01013739,60.4,13.3,15.1,9.1,2.1
E01002003,59.9,13.3,13.8,10.9,2.1
E01011434,54.2,13.2,17,13.5,2.1
E01002503,66.2,13.2,12.4,6,2.1
E01004375,66.6,13.2,12,6.1,2.1
E01011673,52.7,13.1,19.3,12.8,2.1
E01001197,61.8,12.7,12.2,11.2,2.1
E01007940,61,12.4,15.4,9.1,2.1
E01002627,66.1,12.3,12.9,6.6,2.1
E01007874,65.5,12.2,11.6,8.6,2.1
E01001361,58.9,11.6,17.5,10,2.1
E01001632,64,11.2,14.9,7.7,2.1
E01013846,67.5,10.5,11.4,8.4,2.1
E01003966,65.3,10.5,11,11.1,2.1
E01008396,69.8,10.2,10.7,7.2,2.1
E01009639,61.7,10.2,14.9,11,2.1
E01005026,67.5,10.1,12.8,7.5,2.1
E01007914,61.9,10,15.6,10.5,2.1
E01002054,66.1,10,12.8,9,2.1
E01010803,62.8,9.9,15.4,9.9,2.1
E01001488,67.5,9.9,12.1,8.5,2.1
E01004264,63,9.6,14.4,10.9,2.1
E01004209,69.3,9.6,10.4,8.6,2.1
E01030024,61,9.3,16.1,11.5,2.1
E01013330,60.8,9.2,18.5,9.3,2.1
E01002089,69.3,9.2,10.5,8.9,2.1
E01029447,61.8,9.1,17.7,9.2,2.1
E01009365,68.8,9,10.5,9.6,2.1
E01001427,65.8,9,13.4,9.7,2.1
E01010738,69.8,8.7,10.6,8.7,2.1
E01025219,55.8,8.6,18.3,15.2,2.1
E01009379,71.7,8.4,9.7,8,2.1
E01010811,68.2,8.2,11.9,9.7,2.1
E01033642,68.7,8,11.2,9.9,2.1
E01012866,72.1,7.9,9.2,8.8,2.1
E01010046,67.8,7.9,11.3,10.9,2.1
E01026027,72.4,7.6,11.5,6.4,2.1
E01012761,67.6,7.2,12.6,10.5,2.1
E01033167,72.6,7.2,9.8,8.3,2.1
E01033878,76.1,7.2,9.2,5.4,2.1
E01004870,75.5,7.1,8.6,6.7,2.1
E01009367,70.5,6.6,10.2,10.5,2.1
E01009334,71.3,6.5,10.8,9.3,2.1
E01009484,72.4,6.4,8.7,10.5,2.1
E01009152,76.4,6.4,8.1,7.1,2.1
E01025218,69.1,5.7,13,10.1,2.1
E01011133,75.9,5.6,8.8,7.5,2.1
E01034938,78,5.6,8,6.3,2.1
E01010416,75.7,5.5,9.1,7.7,2.1
E01010021,77.1,5.2,9.5,6.1,2.1
E01025217,68.1,4.4,14.2,11.1,2.1
E01000631,52.4,18.1,17.8,9.8,2
E01003568,56.1,16,18.2,7.7,2
E01001370,53.8,15.5,17.7,11,2
E01002651,58.4,15.1,16.8,7.8,2
E01002663,62.1,14.6,14,7.2,2
E01033598,65.3,14.1,11.1,7.5,2
E01002198,51,13.8,22.2,11,2
E01001347,64.1,13.7,12.8,7.4,2
E01000498,60.3,13.6,14.6,9.4,2
E01001215,57,13.5,17.1,10.4,2
E01004326,66,13.4,11,7.5,2
E01003583,58.4,13.1,18,8.4,2
E01002068,65,12.5,11.3,9.1,2
E01004308,67.2,12.5,9.8,8.5,2
E01013605,68.7,12.4,11.5,5.4,2
E01030980,59.7,12.4,18.2,7.6,2
E01005236,66,12.3,11.8,7.9,2
E01015612,56.8,11.6,18,11.5,2
E01000621,62.4,11.1,15.7,8.8,2
E01008398,60.7,10.9,16.2,10.2,2
E01004206,61,10.8,14.7,11.4,2
E01013812,61.9,10.5,15.9,9.7,2
E01015705,58,10.5,17.4,12,2
E01005149,64.2,10.3,14.7,8.9,2
E01004298,69.2,10.2,9.5,9.1,2
E01011677,63.7,10.1,15.4,8.8,2
E01004304,64.2,9.9,14.3,9.5,2
E01025244,65,9.8,14,9.3,2
E01013758,68.9,9.7,11.4,8,2
E01003324,72.2,9.7,9.4,6.7,2
E01013487,62.9,9.4,15.8,9.8,2
E01002072,69.3,9.4,11.7,7.6,2
E01002075,64.3,9.3,14.3,10,2
E01002073,66.5,9.3,14.2,8.1,2
E01009349,65.6,8.9,12.2,11.3,2
E01010060,66,8.8,13,10.2,2
E01001491,71.2,8.8,10.7,7.4,2
E01008996,71.2,8.7,10.2,7.9,2
E01009346,66.8,8.6,13.7,8.9,2
E01034931,69.8,8.4,11.2,8.6,2
E01004286,74.7,8.4,8.5,6.4,2
E01002091,66.9,8.3,12.4,10.3,2
E01017538,66.2,8.2,14.3,9.3,2
E01034233,67.9,8.1,12.7,9.4,2
E01009335,67.5,8.1,11.5,10.9,2
E01010343,68.3,8,11.3,10.4,2
E01001727,74.7,8,9.8,5.5,2
E01003173,81.5,7.9,4.5,4.1,2
E01005581,75.7,7.7,7.7,6.9,2
E01005950,71.4,7.5,10.8,8.3,2
E01034935,72.7,7.2,10.3,7.8,2
E01001426,67.5,7.2,13.4,9.8,2
E01012576,76.9,6.8,8.1,6.3,2
E01025042,73.4,6.7,9.1,8.9,2
E01009382,72.6,6,11.6,7.9,2
E01005437,71,5.9,12.1,8.9,2
E01025185,73.9,5.5,10.3,8.3,2
E01011034,77.1,5.4,7.4,8.1,2
E01034939,76.3,5.1,6,10.7,2
E01009833,77.9,4.8,9.5,5.9,2
E01012577,72,4.7,10.8,10.4,2
E01005352,74.5,3.8,8.7,11,2
E01024714,96,1.1,0.5,0.4,2
E01001278,58.5,17.4,14.2,8,1.9
E01003562,51.3,17.1,19.5,10.2,1.9
E01002619,62.4,16.3,12.9,6.5,1.9
E01003573,55.1,16.3,16.8,9.9,1.9
E01000638,57.2,16.1,15.9,9,1.9
E01016353,60,15.7,15.1,7.3,1.9
E01002167,59.4,14.9,16.2,7.6,1.9
E01004309,65.4,14.8,10.3,7.6,1.9
E01033915,66.2,14.4,10.8,6.6,1.9
E01003560,60.4,14.3,14.3,9.1,1.9
E01033804,51.4,13.8,22.9,10,1.9
E01003588,58.2,13.6,17.6,8.8,1.9
E01010530,60.4,12.9,15.7,9.2,1.9
E01001364,60.2,12.7,16.7,8.6,1.9
E01016358,67.4,12.1,13.6,5,1.9
E01010454,64.1,11.8,13.8,8.4,1.9
E01002501,67.3,11.8,13.4,5.6,1.9
E01001458,61.9,11.6,14,10.6,1.9
E01035684,72.9,11.6,7.9,5.7,1.9
E01003587,61.2,11.4,15.2,10.3,1.9
E01010527,59.2,11,18,9.9,1.9
E01017536,61.4,10.7,14,11.9,1.9
E01025247,65,10.3,14.8,8.1,1.9
E01024382,66.3,10.3,16.5,5.1,1.9
E01035619,62.7,10.2,13.4,11.7,1.9
E01009393,66.2,10.2,11.4,10.2,1.9
E01026177,62.9,10,15.4,9.8,1.9
E01009344,66.4,10,11.1,10.6,1.9
E01003207,78,10,5,5.1,1.9
E01004853,65.2,9.9,12.5,10.4,1.9
E01033130,63.7,9.8,14.9,9.7,1.9
E01023104,73.2,9.8,9.5,5.5,1.9
E01015692,65.3,9.7,15,8,1.9
E01035685,71.3,9.6,11.4,5.7,1.9
E01005143,65.7,9.5,12.7,10.2,1.9
E01034239,55.3,9.4,20.3,13.2,1.9
E01004287,67.4,9.2,12.4,9.2,1.9
E01009327,65.5,9,12.5,11,1.9
