LSOA,Female,Male
E01031234,55.5,44.5
E01009310,55.5,44.5
E01009255,55.5,44.5
E01035522,55.5,44.5
E01021495,55.5,44.5
E01026859,55.5,44.5
E01000330,55.5,44.5
E01000849,55.5,44.5
E01001806,55.5,44.5
E01001947,55.5,44.5
E01002095,55.5,44.5
E01033944,55.5,44.5
E01033086,55.5,44.5
E01004583,55.5,44.5
E01004515,55.5,44.5
E01004630,55.5,44.5
E01021120,55.5,44.5
E01031369,55.5,44.5
E01031460,55.5,44.5
E01035210,55.5,44.5
E01018804,55.5,44.5
E01020547,55.5,44.5
E01034381,55.5,44.5
E01027466,55.4,44.6
E01012397,55.4,44.6
E01019355,55.4,44.6
E01025086,55.4,44.6
E01006544,55.4,44.6
E01034836,55.4,44.6
E01012873,55.4,44.6
E01008075,55.4,44.6
E01010821,55.4,44.6
E01011670,55.4,44.6
E01033010,55.4,44.6
E01013961,55.4,44.6
E01009099,55.4,44.6
E01000386,55.4,44.6
E01000898,55.4,44.6
E01001162,55.4,44.6
E01001057,55.4,44.6
E01001789,55.4,44.6
E01001859,55.4,44.6
E01002018,55.4,44.6
E01002875,55.4,44.6
E01003093,55.4,44.6
E01003173,55.4,44.6
E01003087,55.4,44.6
E01003209,55.4,44.6
E01003354,55.4,44.6
E01003330,55.4,44.6
E01003853,55.4,44.6
E01004581,55.4,44.6
E01004585,55.4,44.6
E01004730,55.4,44.6
E01022987,55.4,44.6
E01024471,55.4,44.6
E01035740,55.4,44.6
E01030880,55.4,44.6
E01019008,55.4,44.6
E01019957,55.4,44.6
E01008506,55.3,44.7
E01008651,55.3,44.7
E01032557,55.3,44.7
E01007081,55.3,44.7
E01012779,55.3,44.7
E01013348,55.3,44.7
E01008011,55.3,44.7
E01013867,55.3,44.7
E01027034,55.3,44.7
E01034691,55.3,44.7
E01014317,55.3,44.7
E01009107,55.3,44.7
E01034314,55.3,44.7
E01001128,55.3,44.7
E01001466,55.3,44.7
E01033703,55.3,44.7
E01001867,55.3,44.7
E01002899,55.3,44.7
E01003245,55.3,44.7
E01003310,55.3,44.7
E01003912,55.3,44.7
E01033883,55.3,44.7
E01021094,55.3,44.7
E01023269,55.3,44.7
E01023258,55.3,44.7
E01024097,55.3,44.7
E01034996,55.3,44.7
E01031685,55.3,44.7
E01015096,55.3,44.7
E01015115,55.3,44.7
E01015297,55.3,44.7
E01019894,55.3,44.7
E01012082,55.2,44.8
E01008773,55.2,44.8
E01034675,55.2,44.8
E01019372,55.2,44.8
E01005075,55.2,44.8
E01005664,55.2,44.8
E01006707,55.2,44.8
E01007090,55.2,44.8
E01012833,55.2,44.8
E01033070,55.2,44.8
E01027903,55.2,44.8
E01010655,55.2,44.8
E01011509,55.2,44.8
E01011444,55.2,44.8
E01026148,55.2,44.8
E01028210,55.2,44.8
E01028851,55.2,44.8
E01008937,55.2,44.8
E01035608,55.2,44.8
E01000137,55.2,44.8
E01000583,55.2,44.8
E01001958,55.2,44.8
E01001854,55.2,44.8
E01001918,55.2,44.8
E01002694,55.2,44.8
E01004584,55.2,44.8
E01004641,55.2,44.8
E01004524,55.2,44.8
E01021005,55.2,44.8
E01021127,55.2,44.8
E01030865,55.2,44.8
E01031411,55.2,44.8
E01031486,55.2,44.8
E01014721,55.2,44.8
E01014562,55.2,44.8
E01020422,55.2,44.8
E01012150,55.1,44.9
E01008389,55.1,44.9
E01008663,55.1,44.9
E01005515,55.1,44.9
E01006493,55.1,44.9
E01006724,55.1,44.9
E01006946,55.1,44.9
E01007016,55.1,44.9
E01007257,55.1,44.9
E01013372,55.1,44.9
E01011447,55.1,44.9
E01013908,55.1,44.9
E01027049,55.1,44.9
E01027965,55.1,44.9
E01028181,55.1,44.9
E01009068,55.1,44.9
E01023426,55.1,44.9
E01026682,55.1,44.9
E01029896,55.1,44.9
E01000785,55.1,44.9
E01000892,55.1,44.9
E01000954,55.1,44.9
E01000949,55.1,44.9
E01001109,55.1,44.9
E01001058,55.1,44.9
E01001769,55.1,44.9
E01001828,55.1,44.9
E01001868,55.1,44.9
E01001916,55.1,44.9
E01002102,55.1,44.9
E01002059,55.1,44.9
E01002325,55.1,44.9
E01002758,55.1,44.9
E01002768,55.1,44.9
E01033488,55.1,44.9
E01002815,55.1,44.9
E01002851,55.1,44.9
E01002957,55.1,44.9
E01003275,55.1,44.9
E01003193,55.1,44.9
E01004532,55.1,44.9
E01004690,55.1,44.9
E01017291,55.1,44.9
E01023260,55.1,44.9
E01028536,55.1,44.9
E01020349,55.1,44.9
E01020502,55.1,44.9
E01012108,55,45
E01012191,55,45
E01008459,55,45
E01008688,55,45
