LSOA code,1 car or van in household,2 cars or vans in household,3 or more cars or vans in household,No cars or vans in household
E01027059,48.32298137,25.71428571,7.080745342,18.88198758
E01027060,47.71178189,21.90847128,5.063291139,25.3164557
E01027061,41.86256781,38.87884268,9.764918626,9.493670886
E01027062,41.44411474,27.89317507,12.36399604,18.29871414
E01027063,33.94255875,39.55613577,17.23237598,9.268929504
E01027064,41.28166915,36.95976155,14.90312966,6.855439642
E01027065,43.97394137,23.77850163,4.994571118,27.25298588
E01027066,30.94339623,41.13207547,21.88679245,6.037735849
E01027067,38.41059603,34.30463576,13.90728477,13.37748344
E01027069,44.09799555,21.82628062,7.683741648,26.39198218
E01027070,41.48148148,34.37037037,14.96296296,9.185185185
E01027071,39.26788686,36.60565724,16.30615641,7.820299501
E01027072,49.30448223,24.26584235,9.737248841,16.69242658
E01027073,43.25221239,29.6460177,10.39823009,16.70353982
E01027074,33.25714286,40,18.85714286,7.885714286
E01027075,35.66084788,40.52369077,16.95760599,6.857855362
E01027076,40.73694985,30.91095189,13.40839304,14.94370522
E01027078,36.18421053,36.18421053,19.07894737,8.552631579
E01027079,46.65809769,29.17737789,10.53984576,13.62467866
E01027080,38.26998689,36.82830931,14.94102228,9.96068152
E01027081,41.86795491,26.7310789,9.661835749,21.73913043
E01027082,47.97468354,19.62025316,6.075949367,26.32911392
E01027083,42.12121212,20.15151515,7.272727273,30.45454545
E01027084,36.13177471,43.03931987,12.11477152,8.7141339
E01027085,41.15805947,35.68075117,12.98904538,10.17214397
E01027086,38.36930456,38.96882494,16.90647482,5.755395683
E01027087,41.34419552,36.45621181,11.81262729,10.38696538
E01027088,36.05870021,38.36477987,19.28721174,6.289308176
E01027089,37.13278496,38.4253819,15.04112808,9.400705053
E01027090,32.11781206,38.84992987,22.58064516,6.451612903
E01027091,40,31,12.125,16.875
E01027092,40.26315789,36.44736842,12.76315789,10.52631579
E01027094,38.56502242,32.28699552,16.29297459,12.85500747
E01027095,38.83058471,35.38230885,14.54272864,11.24437781
E01027096,41.13785558,38.29321663,12.25382932,8.315098468
E01027097,41.38486312,38.00322061,13.20450886,7.407407407
E01027098,42.70833333,35,12.70833333,9.583333333
E01027099,44.17549168,36.00605144,8.018154312,11.80030257
E01027100,41.29032258,27.74193548,8.774193548,22.19354839
E01027102,39.47696139,35.86550436,12.57783313,12.07970112
E01027103,35.09015257,38.6962552,17.19833564,9.015256588
E01027104,43.64111498,17.07317073,3.222996516,36.06271777
E01027105,45.33213645,15.97845601,3.770197487,34.91921005
E01027106,46.90265487,16.70353982,2.765486726,33.62831858
E01027107,43.93162393,31.62393162,12.30769231,12.13675214
E01027108,30.55555556,40.37037037,20.74074074,8.333333333
