LSOA code,Very good health,Good health,Fair health,Bad health,Very bad health
E01012949,32.8,31.4,19.4,7.5,9
E01012041,27.7,28.5,21.1,14.7,8.1
E01009463,47.3,30.7,12.5,2.7,6.8
E01029538,39.5,32.5,14.2,7.5,6.3
E01013861,33.9,27.3,20.6,12.4,5.8
E01035197,33.4,27.4,19.9,13.6,5.7
E01013859,34.9,31.4,16.5,11.4,5.7
E01004384,46.5,31.2,12,4.7,5.7
E01016942,33.2,26.6,21.2,13.5,5.5
E01020749,23.7,30.2,25,15.8,5.4
E01002072,47.6,30.7,10.7,5.7,5.4
E01011370,47,30,12.2,5.5,5.3
E01007544,34.2,28,20.4,12.2,5.2
E01021988,21.4,32.8,26.4,14.2,5.1
E01006563,35.6,29.4,18.6,11.3,5.1
E01007592,41.7,31,16,6.2,5.1
E01007133,32.9,29.5,19.7,12.9,5
E01025584,30.6,32.9,20.5,10.9,5
E01006944,28,34,23.2,9.8,5
E01009342,44.3,29.6,11.6,9.5,5
E01007397,35.1,32.2,19.6,8.1,5
E01006971,41.4,29.3,18.6,5.7,5
E01018732,41.2,33,15.8,5.2,4.9
E01001794,52.1,30.9,9,3.2,4.9
E01006646,43.6,27.1,14.9,9.7,4.8
E01006761,39.1,30.9,17.8,7.5,4.8
E01004848,40.4,31.8,16.2,6.8,4.8
E01010427,42,34.4,13,5.8,4.8
E01011988,38.3,32.7,17.4,6.9,4.7
E01008777,23,28.5,29.1,14.7,4.6
E01012704,36.1,27,20,12.3,4.6
E01006560,36,30.8,18.3,10.4,4.6
E01012409,34.8,29.8,22.9,7.9,4.6
E01024714,35.4,36,17.9,6.1,4.6
E01007762,39.4,35.3,14.6,6,4.6
E01003087,48.5,32.7,10.8,3.4,4.6
E01022025,29.4,33.1,21.5,11.4,4.5
E01027976,35.4,32.4,18.6,9.1,4.5
E01005318,44,31,15.1,5.4,4.5
E01012033,36.2,24.8,20.2,14.4,4.4
E01006662,37.1,27.8,17.9,12.9,4.4
E01020901,33.1,30.1,23,9.4,4.4
E01020999,40,33.6,17.1,4.9,4.4
E01006771,34.4,30.1,18.9,12.3,4.3
E01008702,31.2,30.3,22.2,11.9,4.3
E01012702,33.3,30.4,20.9,11,4.3
E01006799,36.4,30.7,17.6,11,4.3
E01013084,31.1,30.5,23.5,10.6,4.3
E01008736,34.8,30.2,20.6,10,4.3
E01020602,33.9,30.7,21.7,9.4,4.3
E01012946,37.5,29.5,19.2,9.4,4.3
E01008689,34.7,31,20.8,9.3,4.3
E01007904,42,28.6,15.9,9.2,4.3
E01007007,35.3,29.1,20.5,10.9,4.2
E01008762,38.5,28.3,19.9,9,4.2
E01006754,45.6,28.2,15.2,6.8,4.2
E01034079,49.4,33.7,9.3,3.3,4.2
E01020745,33.6,29.5,20.5,12.2,4.1
E01007024,34.5,31.9,18.7,10.9,4.1
E01012682,33,30.4,21.8,10.7,4.1
E01006693,36,30.7,19.3,9.9,4.1
E01006436,41.5,28.7,16,9.6,4.1
E01007739,38.3,30.6,17.5,9.6,4.1
E01020995,34.8,33.5,18.5,9.2,4.1
E01012396,35.9,33.7,17.4,8.9,4.1
E01027516,34,33.2,20.3,8.4,4.1
E01008817,41.2,27.1,19.2,8.4,4.1
E01018767,40.9,29.8,17.1,8.1,4.1
E01020993,37,33.3,17.8,7.8,4.1
E01004732,41.6,28.9,18,7.4,4.1
E01004702,45.9,29,13.9,7.2,4.1
E01025300,36.2,31,21.9,6.7,4.1
E01018989,47,30.5,12.1,6.3,4.1
E01002796,52.4,24,13.5,6,4.1
E01019194,46.6,33.2,12,4,4.1
E01018572,54.6,28,9.5,3.9,4.1
E01033060,52.4,31.9,9.2,2.3,4.1
E01006386,27.9,32.2,23.4,12.5,4
E01008257,29.1,33.5,21.2,12.2,4
E01020777,37.9,28.1,19.3,10.8,4
E01007290,35.7,31.6,18.4,10.3,4
E01012681,31,35,20.7,9.3,4
E01025570,31.5,30.7,24.5,9.3,4
E01013674,36.1,30.9,19.8,9.1,4
E01035466,32.7,34.6,19.8,8.9,4
E01006716,42.8,31.8,13.2,8.3,4
E01013876,39.8,33.6,14.8,7.7,4
E01025154,35.4,32.6,20.4,7.6,4
E01020137,41.7,33.5,15.9,4.9,4
E01002308,44.9,34,12.5,4.7,4
E01014927,43.5,33.9,14.6,4.1,4
E01013136,30.7,30,21.9,13.6,3.9
E01006779,41,26.7,16.9,11.5,3.9
E01006633,39.2,27.3,18.1,11.5,3.9
E01035189,29.1,33.6,22.6,10.9,3.9
E01012408,39.3,28.3,18.1,10.4,3.9
E01011978,39.8,27.1,19.2,10,3.9
E01035468,35.7,30.5,20.7,9.2,3.9
E01007543,38.5,30.5,18,9,3.9
E01005746,34.9,29.4,23,8.7,3.9
E01019156,35.8,33.3,18.6,8.4,3.9
E01010965,37.4,32.1,18.4,8.3,3.9
E01020898,36.4,34.8,17.1,7.8,3.9
E01012671,36.3,32,19.9,7.8,3.9
E01008415,41.1,33.1,14.5,7.3,3.9
E01010054,43.1,28.3,17.5,7.2,3.9
E01008398,45.7,31.5,12,6.9,3.9
E01020656,36.9,34.3,18.3,6.6,3.9
E01016885,43,31,16.1,6.1,3.9
E01034869,41.8,33.5,15.1,5.7,3.9
E01032168,43.7,37.1,12.2,3.2,3.9
E01027740,28.2,30.1,25.2,12.7,3.8
E01006518,38.1,27.6,18.4,12,3.8
E01006443,40.9,27.3,17.1,10.9,3.8
E01022030,30,33.1,22.6,10.5,3.8
E01019510,37,31.6,17.5,10,3.8
E01006467,40,28.9,17.7,9.5,3.8
E01006480,42.3,28.5,16.5,8.9,3.8
E01006418,42.1,28.7,16.8,8.6,3.8
E01006509,45.1,28.6,14.1,8.4,3.8
E01006444,45.9,25.5,16.5,8.4,3.8
E01006826,38,34.3,17,6.9,3.8
E01026161,38.2,33.3,18.6,6,3.8
E01008427,40.1,29.5,15.9,10.9,3.7
E01012445,40,28.6,17.2,10.4,3.7
E01007463,34.5,29.6,22.1,10.2,3.7
E01012284,32.6,30.5,23.1,10.1,3.7
E01029835,31.6,32.5,22.4,9.8,3.7
E01012258,26.5,34.9,25.4,9.5,3.7
E01006600,41.1,30.7,15.3,9.3,3.7
E01007175,37.2,32.1,18,9,3.7
E01012631,41.3,31.8,14.4,8.8,3.7
E01007270,40.5,29.7,17.5,8.5,3.7
E01022039,37.5,34.3,16.2,8.4,3.7
E01025574,37.4,30.6,20.1,8.3,3.7
E01005350,41.5,28.4,18.1,8.3,3.7
E01006791,39.5,31.7,17.1,8.1,3.7
E01018078,33,35,20.5,7.7,3.7
E01021488,34.6,36.8,17.1,7.7,3.7
E01006648,42.3,30.7,15.8,7.6,3.7
E01016844,38.2,33.6,17.3,7.2,3.7
E01020782,39.9,31.5,17.9,7,3.7
E01018949,38.9,34.8,16,6.7,3.7
E01010383,40.1,34.2,16.4,5.5,3.7
E01015171,45,31.7,14.2,5.4,3.7
E01000578,47.3,33.1,10.7,5.2,3.7
E01001410,49.5,30.1,12.1,4.5,3.7
E01012564,46,31.6,14.7,4,3.7
E01012000,32.5,29.7,20.6,13.5,3.6
E01006551,31.4,30.7,21.9,12.4,3.6
E01034834,34.7,31.6,18,12.1,3.6
E01012936,29.3,31.1,23.9,12,3.6
E01011994,35.2,31.4,18.6,11.3,3.6
E01007970,29.4,31.7,24.1,11.2,3.6
E01020753,37.2,30.3,18,10.8,3.6
E01012751,31,32.4,22.2,10.8,3.6
E01024683,37.1,30.6,17.8,10.8,3.6
E01006426,42.1,27.4,16.6,10.3,3.6
E01026083,30.7,34.4,21,10.3,3.6
E01020885,37.2,30,19.7,9.5,3.6
E01011756,32.9,34.1,19.9,9.5,3.6
E01009155,35.2,31,20.6,9.5,3.6
E01005189,39.8,31,16.3,9.3,3.6
E01008285,38.9,31.2,17,9.2,3.6
E01020823,35.4,32.3,19.5,9.1,3.6
E01012688,31.9,35,20.6,9,3.6
E01007575,36.4,33.4,17.5,9,3.6
E01006661,44.3,27.2,16.2,8.8,3.6
E01012600,37.9,32.8,17,8.7,3.6
E01006699,40,30.2,17.5,8.6,3.6
E01006647,47.7,25.8,14.3,8.6,3.6
E01012267,35.9,32.1,20.1,8.3,3.6
E01009987,40.9,29.8,17.5,8.2,3.6
E01006470,40.4,31.7,16.2,8.1,3.6
E01012134,36.1,32.7,19.5,8,3.6
E01004670,38.7,33.6,16.2,7.9,3.6
E01006542,42,31,15.5,7.8,3.6
E01006905,38.1,30.9,19.6,7.7,3.6
E01000853,43.3,30.3,15.2,7.6,3.6
E01012907,36.4,34.8,17.8,7.5,3.6
E01034832,44.7,30.7,13.7,7.3,3.6
E01021015,41,29.7,18.3,7.3,3.6
E01009684,40.3,33,15.9,7.2,3.6
E01007500,36.6,34.6,18.4,6.8,3.6
E01016848,40.7,33.9,15.2,6.6,3.6
E01032453,37.3,35.2,17.9,6,3.6
E01026605,37.8,35.5,17.2,6,3.6
E01033086,45.6,30.9,13.8,6,3.6
E01007142,47.6,32,12.5,4.3,3.6
E01019552,43,34.3,15.1,4,3.6
E01017518,46.9,33.9,11.5,4,3.6
E01006413,36.1,30.4,18.6,11.5,3.5
E01006880,33.2,33.2,19.1,11.1,3.5
E01026109,23.7,35.4,26.2,11.1,3.5
E01005754,35.8,31.3,19.2,10.3,3.5
E01005004,34.7,31.4,20.2,10.2,3.5
E01026050,25.3,33.4,27.7,10.1,3.5
E01012015,36.2,31.9,18.5,9.9,3.5
E01012077,38.8,32.4,15.8,9.6,3.5
E01006414,37.9,31.1,17.9,9.6,3.5
E01012948,31.6,34.1,21.4,9.4,3.5
E01012686,35.1,31.3,20.7,9.3,3.5
E01004987,35,31.8,20.5,9.3,3.5
E01035481,31.8,32.9,22.6,9.3,3.5
E01007092,41.7,30.2,15.6,9.1,3.5
E01007708,39,31.3,17.3,8.9,3.5
E01012031,37.4,32,18.3,8.8,3.5
E01012399,39.3,31.5,17,8.7,3.5
E01023981,42.6,31.1,14.5,8.3,3.5
E01020765,39.7,32.8,15.8,8.2,3.5
E01007119,42.7,29.8,15.9,8.2,3.5
E01018538,38.8,34.3,15.3,8.1,3.5
E01014317,40.3,30.7,17.4,8.1,3.5
E01008853,36.5,32.2,19.7,8,3.5
E01006746,44,30,14.8,7.7,3.5
E01007176,40.7,32.1,16.1,7.6,3.5
E01012893,39.3,32.4,17.4,7.5,3.5
E01009122,40.9,32.8,15.6,7.3,3.5
E01006565,42.4,30.8,16.1,7.2,3.5
E01009962,40.1,30.8,18.4,7.2,3.5
E01006948,41.6,27.8,20,7.1,3.5
E01020819,38,32.7,19,6.8,3.5
E01013634,41,32.3,16.5,6.7,3.5
E01032621,41.1,31.7,17.1,6.7,3.5
E01013739,36,36,17.9,6.5,3.5
E01002855,47.3,28.4,14.8,6.1,3.5
E01003063,47.9,29.8,12.8,6,3.5
E01004696,47.1,29.9,13.6,6,3.5
E01032508,44.2,31.7,14.6,5.9,3.5
E01018142,35.7,39,16.4,5.5,3.5
E01001551,46.3,31.5,13.8,4.9,3.5
E01024989,44.8,33.1,14.5,4.1,3.5
E01007293,37.2,30.3,17,12.2,3.4
E01007338,28.9,34.6,21.1,12.1,3.4
E01019663,32.7,31.5,20.8,11.6,3.4
E01006706,37.6,32.4,15.6,11,3.4
E01005595,34.5,31.2,20.2,10.8,3.4
E01007474,32.3,31.9,21.5,10.8,3.4
E01006903,39,28.7,18.4,10.5,3.4
E01011294,36.2,32.5,17.6,10.3,3.4
E01007274,37.4,32.4,16.6,10.2,3.4
E01007327,32,32,22.5,10.2,3.4
E01026072,30,33.8,22.6,10.2,3.4
E01006437,38.1,31.3,17.2,10.1,3.4
E01007011,38.5,30.5,17.5,10.1,3.4
E01006544,40.9,30.4,15.3,9.9,3.4
E01008212,32.3,35.5,19.6,9.2,3.4
E01012121,38.3,30.4,18.7,9.1,3.4
E01006778,39.1,31.2,17.2,9.1,3.4
E01014334,27.4,35.8,24.3,9,3.4
E01012413,43.1,30.5,14.2,8.8,3.4
E01012383,40.7,30.9,16.3,8.8,3.4
E01007124,44.7,27.5,15.6,8.8,3.4
E01012931,35.6,32,20.1,8.8,3.4
E01007376,36.5,32.7,18.7,8.7,3.4
E01013083,34.4,33.4,20.2,8.6,3.4
E01007947,31.3,35.3,21.4,8.6,3.4
E01019507,35.5,34.5,18.2,8.4,3.4
E01033679,45,28.6,14.7,8.2,3.4
E01007668,40.1,29.8,18.5,8.1,3.4
E01008439,38.9,34.1,15.7,8,3.4
E01008697,38.6,30.1,19.9,8,3.4
E01012089,40.3,32.2,16.2,7.9,3.4
E01006707,41.7,31,16.1,7.8,3.4
E01005709,41.5,31.2,16.3,7.7,3.4
E01006610,41.5,30.1,17.4,7.7,3.4
E01020700,37.5,32.7,18.8,7.6,3.4
E01007138,40.6,32.5,16,7.6,3.4
E01008940,37.5,36.1,15.3,7.6,3.4
E01013603,41.1,33.7,14.3,7.5,3.4
E01033598,42,31.4,15.7,7.5,3.4
E01020758,40.4,32.2,16.5,7.4,3.4
E01008340,41.2,30.7,17.2,7.4,3.4
E01006624,43.5,28.7,17,7.4,3.4
E01006738,42.9,29.2,17.1,7.3,3.4
E01007730,37.9,32.8,18.6,7.3,3.4
E01008103,37.8,34.5,17.1,7.2,3.4
E01010137,39.8,34.8,14.9,7.1,3.4
E01032662,38.6,33.1,17.7,7.1,3.4
E01031790,36.9,35.5,17.2,7,3.4
E01014638,40.4,32,17.2,7,3.4
E01009752,40.6,33.9,15.4,6.6,3.4
E01009225,43,30.1,17.9,5.6,3.4
E01012714,44.3,32,15,5.4,3.4
E01006860,43.9,33.5,14.1,5.1,3.4
E01006309,46.1,33.8,12.4,4.4,3.4
E01014758,49.6,32.2,11.2,3.7,3.4
E01033671,63.6,24.8,6.5,1.7,3.4
E01028263,30.8,32.6,21.9,11.3,3.3
E01026048,26,34.5,25.2,11.1,3.3
E01008303,35.7,31.1,19,10.9,3.3
E01005918,35.5,29.1,21.3,10.9,3.3
E01034838,34.7,32.3,18.8,10.9,3.3
E01034399,41.7,28.1,16.3,10.6,3.3
E01006567,38.1,30.6,17.4,10.6,3.3
E01006430,41,27.9,17.5,10.3,3.3
E01012438,40.9,30.9,14.8,10.1,3.3
E01007727,36.5,30.5,19.6,10.1,3.3
E01014806,33.1,33.9,19.7,10.1,3.3
E01012662,28.6,36,22.1,10,3.3
E01021019,36.1,32.3,18.4,10,3.3
E01006019,33,32.2,21.7,9.8,3.3
E01011999,33.2,34.4,19.4,9.7,3.3
E01024524,34.4,34.2,18.5,9.6,3.3
E01008425,35.8,30.3,21.1,9.5,3.3
E01006735,43.8,28.9,14.7,9.3,3.3
E01010924,35.1,33.9,18.4,9.3,3.3
E01012692,37.9,33.5,16.1,9.2,3.3
E01006775,39.9,30.5,17.1,9.2,3.3
E01012112,35.8,33.8,18.2,9,3.3
E01007085,43.2,30.6,14.2,8.7,3.3
E01006972,34.4,34.8,19,8.6,3.3
E01006558,39.3,33.4,15.5,8.5,3.3
E01007228,39.2,30.6,18.4,8.5,3.3
E01011980,37.2,32.8,18.2,8.4,3.3
E01012615,37.2,34.9,16.2,8.4,3.3
E01012045,42.2,29.4,16.8,8.2,3.3
E01025171,37.7,30.3,20.6,8.2,3.3
E01006660,42.5,29.1,16.9,8.2,3.3
E01020228,32.5,36.6,19.4,8.2,3.3
E01024641,35.1,35.4,18.3,8,3.3
E01005098,43.4,30.5,14.9,7.9,3.3
E01020793,38.9,31.6,18.3,7.8,3.3
E01008625,39.9,31.4,17.4,7.8,3.3
E01012044,43.7,30.2,15.1,7.7,3.3
E01022364,40.8,32.1,16.1,7.7,3.3
E01005935,41,31.6,16.4,7.6,3.3
E01007204,43.8,28.5,17,7.4,3.3
E01011989,40.4,32.4,16.7,7.3,3.3
E01027363,36.3,32.3,20.8,7.3,3.3
E01022045,35.3,34.7,19.4,7.3,3.3
E01004795,38.4,33.6,17.6,7,3.3
E01010617,43.6,31.6,14.5,7,3.3
E01015147,41.8,33.1,16,5.8,3.3
E01012793,41.8,33.3,16.3,5.3,3.3
E01002737,50.4,29.4,11.8,5.1,3.3
E01010641,42.6,35.6,13.6,4.9,3.3
E01025930,43.4,36.4,12.6,4.2,3.3
E01007786,43.1,32.8,16.8,3.9,3.3
E01025476,49.1,31.8,13,2.7,3.3
E01020764,32.3,28.5,22.4,13.6,3.2
E01006769,38.7,28.4,18.3,11.5,3.2
E01008709,34.5,31.3,19.7,11.3,3.2
E01020739,29.7,33.5,22.5,11,3.2
E01028276,32.3,34.4,19.9,10.2,3.2
E01007122,39.3,31,16.4,10.1,3.2
E01014832,38,33,15.9,9.9,3.2
E01006442,40.7,30.9,15.5,9.7,3.2
E01007892,35.1,33.6,18.4,9.7,3.2
E01020766,33,33.4,20.8,9.6,3.2
E01008218,33.5,32.6,21.2,9.5,3.2
E01006562,36.2,32.9,18.2,9.5,3.2
E01006564,40,31.4,15.9,9.5,3.2
E01007089,42.4,26.4,18.4,9.5,3.2
E01008216,34.3,31.2,21.9,9.4,3.2
E01006755,42.9,30.3,14.2,9.3,3.2
E01002842,44.8,26.8,16,9.3,3.2
E01008836,36.1,31.2,20.2,9.2,3.2
E01012131,36.9,29.3,21.5,9.1,3.2
E01004881,34.3,33.6,20,9,3.2
E01020920,35.9,34.5,17.4,9,3.2
E01006455,43.2,30,14.7,8.9,3.2
E01020784,38.6,30.8,18.6,8.8,3.2
E01008738,35,33.8,19.2,8.8,3.2
E01013156,30.1,36.9,21,8.8,3.2
E01013868,38.3,30.8,18.9,8.8,3.2
E01008667,38.5,31.6,18.1,8.7,3.2
E01006239,39.5,30.3,18.3,8.7,3.2
E01011859,35.7,33.4,19,8.7,3.2
E01024942,37.9,32.3,18.2,8.4,3.2
E01007365,39.3,32.6,16.5,8.4,3.2
E01013880,37.5,32.8,18.1,8.4,3.2
E01006028,36.5,33,19,8.3,3.2
E01010820,38.1,30.7,19.7,8.3,3.2
E01009379,44.7,28.6,15.2,8.3,3.2
E01012132,37.1,33.6,18,8.1,3.2
E01012856,36.8,35,16.9,8.1,3.2
E01007721,37.7,33.8,17.2,8.1,3.2
E01012808,37.3,34.4,17.2,7.9,3.2
E01012096,39.2,32.2,17.6,7.8,3.2
E01029388,40.1,32.9,16,7.8,3.2
E01018878,39.1,32.2,17.7,7.8,3.2
E01011842,35.2,33.1,20.7,7.7,3.2
E01006611,43.1,31.4,14.7,7.6,3.2
E01006638,46.5,26.9,16,7.5,3.2
E01009259,42.8,29.4,17.2,7.5,3.2
E01020809,37.3,33.6,18.6,7.3,3.2
E01015235,31.6,36.5,21.7,7,3.2
E01012697,36.6,33.7,19.6,6.9,3.2
E01013404,41.1,32.2,16.6,6.9,3.2
E01008014,45.4,28.3,16.2,6.9,3.2
E01013960,40.9,34.1,14.8,6.9,3.2
E01010840,39.5,34.7,15.8,6.8,3.2
E01013208,42.2,30.5,17.4,6.7,3.2
E01007735,40.4,33.1,16.6,6.7,3.2
E01008119,41.3,32,16.8,6.7,3.2
E01008946,41,33.4,15.8,6.7,3.2
E01006568,44.7,29.9,15.5,6.6,3.2
E01016865,41,32.5,16.7,6.6,3.2
E01012081,45.9,31.8,12.7,6.4,3.2
E01029827,38.9,35.1,16.4,6.4,3.2
E01009133,42.5,33.2,14.9,6.2,3.2
E01033224,44.2,33.3,13.2,6.1,3.2
E01007847,37.6,33.5,19.8,5.9,3.2
E01005959,45.6,32.1,13.5,5.6,3.2
E01033603,53.2,28.1,9.9,5.6,3.2
E01019573,40.3,33.2,17.9,5.4,3.2
E01001765,49.5,29.5,12.4,5.4,3.2
E01020718,41.7,35.5,14.4,5.2,3.2
E01035681,46.3,32.9,12.5,5.1,3.2
E01012719,41.6,34.2,16.1,5,3.2
E01000185,46.6,32.2,13.4,4.6,3.2
E01015746,45,33,14.4,4.4,3.2
E01000977,42.7,36.2,13.6,4.3,3.2
E01023623,50.6,31.7,11.2,3.4,3.2
E01013117,47.5,35.7,10.3,3.2,3.2
E01012127,37.1,27.5,20.3,12,3.1
E01011661,33.2,28.2,23.5,12,3.1
E01012019,36.8,30.6,17.7,11.8,3.1
E01007128,31.9,32.8,20.5,11.6,3.1
E01020673,30.6,32.4,22.4,11.5,3.1
E01020752,31.9,32.2,21.5,11.3,3.1
E01020798,32.3,31.7,21.9,10.9,3.1
E01012721,38.8,29.1,18.1,10.8,3.1
E01006612,40.4,30.1,15.8,10.6,3.1
E01027966,32.7,32.8,20.7,10.6,3.1
E01008791,35.8,29.1,21.5,10.5,3.1
E01012735,32.2,31.9,22.2,10.5,3.1
E01020767,33.3,30.5,22.8,10.4,3.1
E01012655,37.4,29.3,19.7,10.4,3.1
E01006023,38.9,31.6,16.1,10.3,3.1
E01012673,37.6,31.3,18,10.1,3.1
E01007406,37.6,30.8,18.3,10.1,3.1
E01026074,26.5,34.8,25.3,10.1,3.1
E01035368,37.3,32,17.6,10,3.1
E01014580,39.9,29.4,17.5,10,3.1
E01005682,40.1,27.5,19.4,9.9,3.1
E01010130,38.6,32.5,16.1,9.7,3.1
E01006658,40.7,32.2,14.4,9.6,3.1
E01007009,35.5,30.9,20.9,9.6,3.1
E01020727,36.9,31.7,18.7,9.5,3.1
E01009136,39,29.4,19.2,9.3,3.1
E01012090,39.7,31.7,16.4,9.1,3.1
E01008228,35.3,34.1,18.3,9.1,3.1
E01008601,39.2,32,16.6,9,3.1
E01008743,38.8,29.2,19.8,9,3.1
E01006460,42.9,29.5,15.5,9,3.1
E01008684,37.2,32.5,18.3,8.9,3.1
E01006616,42.7,28.9,16.4,8.9,3.1
E01006758,42.7,29.6,15.8,8.8,3.1
E01009097,40.1,32.3,15.7,8.8,3.1
E01018995,37.5,31.2,19.4,8.8,3.1
E01025590,35.6,33.4,19.2,8.7,3.1
E01019403,33.8,35.6,19,8.6,3.1
E01008666,44.1,28.9,15.3,8.5,3.1
E01006790,43.7,29.1,15.5,8.5,3.1
E01007719,38.7,31.7,18,8.5,3.1
E01013860,43.7,28.4,16.4,8.4,3.1
E01016866,36.9,33.5,18.1,8.4,3.1
E01005289,39.4,30.2,19,8.3,3.1
E01007131,43,30.4,15.3,8.2,3.1
E01019668,33.6,31.4,23.7,8.2,3.1
E01027968,33.5,34.4,20.8,8.2,3.1
E01032456,38.5,32.9,17.3,8.2,3.1
E01020834,33.9,35.1,19.9,8.1,3.1
E01033765,42.2,31.4,15.3,8.1,3.1
E01026094,34.3,32.8,21.6,8.1,3.1
E01031097,38,33.6,17.2,8.1,3.1
E01011953,38.5,31.7,18.7,8,3.1
E01006500,41.2,29.5,18.2,8,3.1
E01030277,35.6,33.4,19.9,8,3.1
E01028224,34.4,34.1,20.5,7.9,3.1
E01028279,39.6,33,16.5,7.9,3.1
E01012436,42.7,31.5,14.8,7.8,3.1
E01025697,32.7,37.1,19.3,7.8,3.1
E01015219,36.9,32.6,19.6,7.8,3.1
E01012273,43,29.4,16.9,7.7,3.1
E01028299,38.5,35.9,14.8,7.7,3.1
E01008138,39,29.8,20.5,7.6,3.1
E01007945,35.6,34.5,19.2,7.6,3.1
E01012422,42.9,30.8,15.7,7.5,3.1
E01005261,47.2,27.9,14.4,7.4,3.1
E01006416,45.6,28.7,15.2,7.4,3.1
E01027817,37.7,35.8,16.1,7.3,3.1
E01031015,38.8,31.9,18.9,7.3,3.1
E01014224,37.9,34.6,17.2,7.2,3.1
E01018797,38.4,34,17.2,7.2,3.1
E01006721,43.1,31.4,15.3,7,3.1
E01029381,35.6,35,19.3,7,3.1
E01011574,40.7,33.5,16,6.8,3.1
E01018521,40.9,32.4,16.8,6.7,3.1
E01006698,43.6,31.6,14.9,6.7,3.1
E01034846,38.7,34,17.5,6.7,3.1
E01007733,35.8,37,17.5,6.6,3.1
E01014278,37.8,36.4,16.1,6.6,3.1
E01009000,39.3,32.6,18.5,6.6,3.1
E01022333,38.8,34,17.6,6.6,3.1
E01004206,43.9,33.6,13,6.5,3.1
E01005092,50.3,27.8,12.3,6.4,3.1
E01006705,45.4,31.6,13.6,6.4,3.1
E01019506,40.1,32.3,18.2,6.3,3.1
E01008227,42.2,32.5,16,6.2,3.1
E01009254,44.5,31,15.1,6.2,3.1
E01001761,46,31.9,12.9,6.2,3.1
E01012710,49.4,28,13.5,6.1,3.1
E01011747,41.5,32.7,16.6,6,3.1
E01007510,45.2,31.3,14.5,5.9,3.1
E01018761,36.4,35,19.6,5.9,3.1
E01012247,41.9,33.5,15.6,5.8,3.1
E01027435,38.7,35.3,17.1,5.8,3.1
E01034752,37.9,34.8,18.5,5.8,3.1
E01013164,43.5,34.4,13.2,5.8,3.1
E01005239,49,27.9,14.4,5.7,3.1
E01012467,39.7,36.5,15.8,4.9,3.1
E01007607,47.3,32.5,12.3,4.8,3.1
E01009120,45.1,35.6,11.5,4.8,3.1
E01010313,42.5,33.9,16.1,4.5,3.1
E01028430,46.9,31.5,13.9,4.5,3.1
E01006986,51.7,31,10.1,4.1,3.1
E01029424,45.3,34,13.9,3.7,3.1
E01032467,44.7,35.1,13.9,3.3,3.1
E01004775,54.7,30.4,9,2.8,3.1
E01031697,56.4,29.3,9.1,2.2,3.1
E01012752,37.1,30.6,17.2,12.1,3
E01014357,32.9,34.9,17.2,12,3
E01026103,25,34.4,26,11.6,3
E01008829,37.8,29.5,18.5,11.2,3
E01021990,27.5,35,24,10.5,3
E01005482,37.5,30.7,18.4,10.4,3
E01026069,27.1,33.9,25.7,10.4,3
E01008438,36.6,33.5,16.9,10.1,3
E01008748,34.3,31.9,21.1,9.8,3
E01033949,40.8,27.8,18.8,9.6,3
E01007155,33.9,32.4,21.2,9.6,3
E01007378,36,31.8,19.6,9.6,3
E01012382,39.6,31.4,16.5,9.5,3
E01012687,38.3,32.6,16.7,9.5,3
E01006336,36.7,33.6,17.6,9.2,3
E01008017,37.9,32.3,17.6,9.2,3
E01016868,36.8,32.5,18.6,9.1,3
E01012622,40.5,31.5,15.9,9,3
E01017182,32.1,33.5,22.4,9,3
E01035188,35.3,32.5,20.3,8.9,3
E01012111,35,32.1,21,8.9,3
E01024585,36.8,33.7,17.6,8.9,3
E01008286,37.7,34.8,15.8,8.8,3
E01006659,35.3,32.4,20.5,8.8,3
E01021136,40.3,27.4,20.6,8.8,3
E01008703,41.8,29.4,17.2,8.7,3
E01018898,40,32.6,15.7,8.7,3
E01009622,43.3,28.4,16.7,8.6,3
E01006644,44.4,30.2,14,8.5,3
E01009607,37.4,33.9,17.2,8.5,3
E01007227,43.1,28.6,16.9,8.4,3
E01033470,37.1,32.1,19.5,8.3,3
E01006849,42.1,30.7,16,8.3,3
E01015269,40.1,33.1,15.6,8.3,3
E01012720,41.4,31.6,15.8,8.2,3
E01005315,38.6,32.2,18,8.2,3
E01020606,37,32.4,19.6,8.1,3
E01020771,38.6,31.3,19.1,8,3
E01008524,30.9,36.5,21.7,8,3
E01020297,37.3,34.3,17.4,8,3
E01029132,39.5,33.2,16.4,8,3
E01025588,28.3,36.7,24,7.9,3
E01005680,39.7,33.4,15.9,7.9,3
E01006873,42.2,28.6,18.4,7.9,3
E01007019,41.1,33.1,14.9,7.9,3
E01013213,35.1,35.1,19,7.8,3
E01014185,36.1,34.5,18.6,7.8,3
E01012570,43,31.7,14.5,7.7,3
E01012777,36.2,33.1,20,7.6,3
E01004729,46,30.6,12.7,7.6,3
E01008297,45.6,28.3,15.7,7.5,3
E01005202,52.4,25.6,11.7,7.3,3
E01013638,42.7,30.1,16.9,7.3,3
E01006439,50.1,27,12.8,7.2,3
E01018788,37.9,31.1,20.8,7.2,3
E01019004,41.1,31.4,17.3,7.2,3
E01008841,44.4,31.9,13.6,7.1,3
E01022046,37.1,32.3,20.5,7.1,3
E01015312,42.7,32.3,14.8,7.1,3
E01019097,39.6,32.2,18.3,7,3
E01006741,43.3,31.2,15.6,7,3
E01007874,48.2,27.3,14.6,7,3
