LSOA code,Less than 5km,5km to less than 20km,20km to less than 40km,40km and over,"Works mainly at an offshore installation, in no fixed place, or outside the UK",Works mainly from home
E01019911,23.23580034,28.91566265,5.335628227,5.163511188,14.8020654,22.54733219
E01019912,22.09677419,22.41935484,3.225806452,2.741935484,17.90322581,31.61290323
E01019913,15.43086172,25.65130261,5.811623246,4.408817635,13.0260521,35.67134269
E01019914,28.45100105,24.55216017,4.636459431,2.739726027,21.39093783,18.22971549
E01019915,24.67718795,23.0989957,4.87804878,3.730272597,12.05164993,31.56384505
E01019916,35.74833174,23.54623451,3.050524309,3.145853194,16.01525262,18.49380362
E01019917,26.35046113,22.52964427,3.162055336,2.503293808,17.65480896,27.7997365
E01019918,28.94736842,21.88995215,2.272727273,4.306220096,15.07177033,27.51196172
E01019919,31.27753304,24.11894273,3.193832599,3.303964758,19.05286344,19.05286344
E01019920,31.40703518,22.98994975,4.145728643,3.140703518,16.83417085,21.48241206
E01019921,26.36612022,25.27322404,3.005464481,3.415300546,16.12021858,25.81967213
E01019922,35.76751118,23.24888227,4.321907601,3.725782414,16.98956781,15.94634873
E01019923,28.90756303,22.18487395,4.033613445,2.352941176,19.66386555,22.85714286
E01019924,36.36363636,22.52374491,2.985074627,2.985074627,18.4531886,16.68928087
E01019925,13.21585903,40.2349486,5.873715125,1.762114537,15.4185022,23.4948605
E01019927,28.5971223,17.62589928,16.00719424,2.158273381,19.42446043,16.18705036
E01019928,28.47503374,17.81376518,13.49527665,2.564102564,19.43319838,18.21862348
E01019929,23.37662338,22.7994228,19.62481962,3.896103896,14.71861472,15.58441558
E01019930,20.55641422,25.50231839,15.45595054,3.863987635,15.61051005,19.01081917
E01019931,20,16.53846154,15.38461538,1.346153846,14.23076923,32.5
E01019932,25.34246575,18.63013699,13.97260274,2.328767123,18.63013699,21.09589041
E01019933,22.59615385,14.42307692,16.02564103,3.525641026,20.99358974,22.43589744
E01019934,20.42553191,15.17730496,18.15602837,2.553191489,15.60283688,28.08510638
E01019935,8.47145488,17.12707182,12.52302026,3.867403315,18.96869245,39.04235727
E01019936,15.6448203,21.98731501,12.05073996,1.902748414,17.97040169,30.44397463
E01019937,11.663286,32.75862069,2.839756592,2.231237323,17.7484787,32.75862069
E01019938,6.845753899,18.11091854,11.69844021,3.032928943,12.65164645,47.66031196
E01019939,6.772334294,32.85302594,3.746397695,2.88184438,9.942363112,43.80403458
E01019940,9.550561798,27.66853933,3.511235955,2.668539326,13.20224719,43.3988764
E01019942,13.67924528,32.64150943,2.641509434,1.886792453,16.03773585,33.11320755
E01019943,15.90909091,29.54545455,2.777777778,1.893939394,16.28787879,33.58585859
E01019944,16,32.33333333,3.444444444,2.222222222,15.11111111,30.88888889
E01019945,13.09278351,28.96907216,4.329896907,2.680412371,15.87628866,35.05154639
E01019946,22.22222222,15.70048309,15.2173913,5.072463768,14.49275362,27.29468599
E01019947,26.47727273,16.93181818,15.34090909,4.318181818,16.59090909,20.34090909
E01019948,31.38528139,16.01731602,11.68831169,2.813852814,20.995671,17.0995671
E01019949,28.81646655,21.09777015,14.0651801,2.744425386,14.57975986,18.69639794
E01019950,29.95594714,17.18061674,13.21585903,3.964757709,16.74008811,18.94273128
E01019951,13.671875,19.53125,6.770833333,1.432291667,14.19270833,44.40104167
E01019952,24.50424929,23.22946176,7.507082153,2.407932011,18.13031161,24.22096317
E01019953,21.18811881,25.54455446,5.742574257,2.376237624,16.63366337,28.51485149
E01019954,29.96594779,26.56072645,5.788876277,2.043132804,17.70715096,17.93416572
E01019955,26.33333333,25.5,7.833333333,3.333333333,15.66666667,21.33333333
E01019956,25.33333333,20,6.222222222,2.814814815,12.59259259,33.03703704
E01019957,17.07317073,17.34417344,10.29810298,3.79403794,10.56910569,40.92140921
E01019958,23.58346095,23.58346095,7.19754977,3.062787136,15.46707504,27.10566616
E01019959,9.015025042,25.54257095,6.844741235,3.005008347,15.35893155,40.23372287
E01019960,5.734265734,27.41258741,7.132867133,2.377622378,15.52447552,41.81818182
E01019961,13.67041199,14.13857678,10.48689139,3.651685393,18.44569288,39.60674157
E01019962,6.451612903,32.62672811,3.778801843,2.211981567,16.12903226,38.80184332
E01019963,8.980582524,32.52427184,5.097087379,3.033980583,12.37864078,37.98543689
E01019964,6.934306569,27.82846715,2.737226277,5.291970803,15.87591241,41.33211679
E01019965,20.98609355,25.28445006,4.551201011,4.424778761,12.64222503,32.11125158
E01019966,10.95334686,18.45841785,9.736308316,5.070993915,19.67545639,36.10547667
E01019967,5.159332322,17.14719272,13.96054628,3.641881639,16.38846737,43.70257967
E01019968,41.79566563,14.55108359,2.941176471,3.560371517,13.00309598,24.14860681
E01019969,39.14327917,15.50960118,2.658788774,2.067946824,15.80502216,24.81536189
